,permit_ID,section,date,status,inspector
80,17016-20000-01187,Interior/Exterior Lathing,3/7/2017,Partial Approval,PETER FOLLING
81,17016-20000-01187,Green Building Rough,5/26/2017,Not Ready for Inspection,FELIX ARROYO
82,17016-20000-01187,Insulation,6/16/2017,Approved,CHARLES POWELL
83,17016-20000-01187,Drywall Nailing,6/21/2017,Approved,ARTHUR SARGSYAN
84,17016-20000-01187,Final,7/27/2017,Not Ready for Inspection,PETER FOLLING
85,17016-20000-01187,SGSOV-Seismic Gas S/O Valve,7/27/2017,SGSOV Not Ready,PETER FOLLING
86,17016-20000-01187,Smoke Detectors,7/27/2017,Not Ready for Inspection,PETER FOLLING
87,17016-20000-01187,Wood Frame,7/27/2017,Approved,PETER FOLLING
88,17016-20000-01187,Final,8/3/2017,Not Ready for Inspection,SEAN WIRCH
89,17016-20000-01187,SGSOV-Seismic Gas S/O Valve,8/3/2017,SGSOV Not Ready,SEAN WIRCH
90,17016-20000-01187,Smoke Detectors,8/3/2017,Approved,SEAN WIRCH
91,17016-20000-01187,Final,8/25/2017,OK to Issue CofO,SEAN WIRCH
92,17016-20000-01187,SGSOV-Seismic Gas S/O Valve,8/25/2017,SGSOV Approved,SEAN WIRCH
93,17016-20000-01187,Final,11/2/2017,Partial Inspection,SEAN WIRCH
94,17016-20000-01187,Special/Order Compliance,11/7/2017,Partial Inspection,FELIX ARROYO
95,17016-20000-01187,Special/Order Compliance,11/20/2017,Not Ready for Inspection,FELIX ARROYO
96,17016-20000-01187,Final,11/29/2017,Permit Finaled,FELIX ARROYO
97,17016-20000-09930,Drywall Nailing,4/21/2017,Approved,CHARLES POWELL
98,17016-20000-09930,Final,5/11/2017,Permit Finaled,CHARLES POWELL
99,17016-20000-09930,Smoke Detectors,5/11/2017,Approved,CHARLES POWELL
100,18019-20000-01376,Demo Pre-Inspection,4/18/2019,Approved,JUAN VALENZUELA
101,18019-20000-01376,Final,6/18/2019,Permit Finaled,TIM CHRISTENSEN
102,18019-20000-01376,Protection Fence/Barricades,6/18/2019,Approved,TIM CHRISTENSEN
103,18019-20000-01376,Sewer Cap,6/18/2019,Approved,TIM CHRISTENSEN
104,14016-20000-23414,Excavation/Setback/Form/Re-Bar,2/19/2015,Not Ready for Inspection,ROBERT WEINANDT
105,14016-20000-23414,Excavation/Setback/Form/Re-Bar,2/20/2015,Approved,ROBERT WEINANDT
106,14016-20000-23414,Pre-Inspection,2/20/2015,Approved,ROBERT WEINANDT
107,14016-20000-23414,Deputy Drilled-In Anchors,2/24/2015,Conditional Approval,ROBERT WEINANDT
108,14016-20000-23414,PLUMBING-Rough,2/25/2015,Partial Approval,JOHN HAYES
109,14016-20000-23414,Underground Mechanical,2/25/2015,Approved,JOHN HAYES
110,14016-20000-23414,Deputy Reinf. Concrete,2/27/2015,Conditional Approval,LEE HELLINGER
111,14016-20000-23414,BUILDING-Rough-Frame,4/21/2015,Partial Inspection,ROBERT WEINANDT
112,14016-20000-23414,ELECTRICAL-Rough,4/21/2015,Partial Approval,ROBERT WEINANDT
113,14016-20000-23414,HVAC-Rough,4/21/2015,Approved,ROBERT WEINANDT
114,14016-20000-23414,PLUMBING-Rough,4/21/2015,Approved,ROBERT WEINANDT
115,14016-20000-23414,Interior/Exterior Lathing,4/23/2015,Corrections Issued,ROBERT WEINANDT
116,14016-20000-23414,BUILDING-Rough-Frame,4/27/2015,Approved,ROBERT WEINANDT
117,14016-20000-23414,Green Building Rough,4/27/2015,Approved,ROBERT WEINANDT
118,14016-20000-23414,Insulation,4/27/2015,Approved,ROBERT WEINANDT
119,14016-20000-23414,Drywall Nailing,5/1/2015,Conditional Approval,ROBERT WEINANDT
120,14016-20000-23414,Interior/Exterior Lathing,6/1/2015,Approved,JOEL WILLIAMS
121,14016-20000-23414,Final,9/2/2015,Conditional Approval,WILLIAM KUEHN
122,14016-20000-23414,SGSOV-Seismic Gas S/O Valve,9/2/2015,SGSOV Approved,WILLIAM KUEHN
123,14016-20000-23414,Smoke Detectors,9/2/2015,Approved,WILLIAM KUEHN
124,13014-20000-03106,Deputy Drilled-In Anchors,8/15/2013,Approved,ROBERT SHELLY
125,13014-20000-03106,Footing/Foundation/Slab,8/15/2013,Approved,BOB GOBUTY
126,13014-20000-03106,BUILDING-Rough-Frame,8/28/2013,Partial Inspection,RICHARD VENTURA
127,13014-20000-03106,BUILDING-Rough-Frame,8/30/2013,Approved,RICHARD VENTURA
128,13014-20000-03106,ELECTRICAL-Rough,8/30/2013,Approved,RICHARD VENTURA
129,13014-20000-03106,HVAC-Rough,8/30/2013,Approved,RICHARD VENTURA
130,13014-20000-03106,Green Building Rough,9/3/2013,Approved,BRYAN MEYER
131,13014-20000-03106,Insulation,9/4/2013,Approved,RICHARD VENTURA
132,13014-20000-03106,Drywall Nailing,9/6/2013,Approved,RICHARD VENTURA
133,13014-20000-03106,Green Building Final,10/4/2013,Approved,ROLLIN GETTLE III
134,13014-20000-03106,Final,10/7/2013,Not Ready for Inspection,RICHARD VENTURA
135,13014-20000-03106,SGSOV-Seismic Gas S/O Valve,10/7/2013,SGSOV Not Ready,RICHARD VENTURA
136,13014-20000-03106,Smoke Detectors,10/7/2013,Approved,RICHARD VENTURA
137,13014-20000-03106,Final,10/9/2013,Corrections Issued,MARTIN TACK
138,13014-20000-03106,SGSOV-Seismic Gas S/O Valve,10/9/2013,SGSOV Approved,MARTIN TACK
139,13014-20000-03106,Final,10/11/2013,Corrections Issued,JON KENNEDY
140,13014-20000-03106,Final,10/18/2013,Not Ready for Inspection,JON KENNEDY
141,13014-20000-03106,Final,10/23/2013,Partial Inspection,WILLIAM KUEHN
142,13014-20000-03106,SGSOV-Seismic Gas S/O Valve,10/23/2013,SGSOV Approved,WILLIAM KUEHN
143,13014-20000-03106,Final,3/19/2014,OK to Issue CofO,MICHAEL TEMPLE
144,14016-10000-01979,BUILDING-Rough-Frame,6/26/2014,Corrections Issued,MICHAEL FAUNCE
145,14016-10000-01979,ELECTRICAL-Rough,6/26/2014,Corrections Issued,MICHAEL FAUNCE
146,14016-10000-01979,PLUMBING-Rough,6/26/2014,Corrections Issued,MICHAEL FAUNCE
147,14016-10000-01979,ELECTRICAL-Rough,7/3/2014,Not Ready for Inspection,JOHN JAEGERS
148,14016-10000-01979,PLUMBING-Rough,7/3/2014,Not Ready for Inspection,JOHN JAEGERS
149,14016-10000-01979,ELECTRICAL-Rough,7/9/2014,Partial Approval,JOHN JAEGERS
150,14016-10000-01979,PLUMBING-Rough,7/9/2014,Not Ready for Inspection,JOHN JAEGERS
151,14016-10000-01979,Shower Pan,7/9/2014,Approved,JOHN JAEGERS
152,14016-10000-01979,ELECTRICAL-Rough,7/16/2014,Partial Approval,JOHN JAEGERS
153,14016-10000-01979,PLUMBING-Rough,7/16/2014,Not Ready for Inspection,JOHN JAEGERS
154,14016-10000-01979,ELECTRICAL-Rough,7/17/2014,Partial Approval,JOHN JAEGERS
155,14016-10000-01979,PLUMBING-Rough,7/17/2014,Not Ready for Inspection,JOHN JAEGERS
156,14016-10000-01979,Final,8/15/2014,Permit Finaled,JOHN JAEGERS
157,14016-10000-01979,SGSOV-Seismic Gas S/O Valve,8/15/2014,SGSOV Approved,JOHN JAEGERS
158,14016-10000-01979,Smoke Detectors,8/15/2014,Approved,JOHN JAEGERS
159,13014-20000-05056,Footing/Foundation/Slab,12/12/2013,Corrections Issued,TIP WHITING
160,13014-20000-05056,PLUMBING-Rough,12/13/2013,Partial Approval,TIP WHITING
161,13014-20000-05056,BUILDING-Rough-Frame,12/26/2013,Not Ready for Inspection,TIP WHITING
162,13014-20000-05056,ELECTRICAL-Rough,12/26/2013,Corrections Issued,TIP WHITING
163,13014-20000-05056,Green Building Rough,12/26/2013,Not Ready for Inspection,RICHARD DOCKUS
164,13014-20000-05056,PLUMBING-Rough,12/26/2013,Partial Approval,TIP WHITING
165,13014-20000-05056,BUILDING-Rough-Frame,12/31/2013,Partial Approval,JOHN COLEMAN
166,13014-20000-05056,Green Building Rough,12/31/2013,Not Ready for Inspection,PETER FOLLING
167,13014-20000-05056,ELECTRICAL-Rough,1/3/2014,Not Ready for Inspection,TIP WHITING
168,13014-20000-05056,Interior/Exterior Lathing,1/3/2014,Partial Approval,TIP WHITING
169,13014-20000-05056,PLUMBING-Rough,1/3/2014,Not Ready for Inspection,TIP WHITING
170,13014-20000-05056,Green Building Rough,1/6/2014,Approved,PETER FOLLING
171,13014-20000-05056,Rough-Elec/Plmb/HVAC,1/6/2014,Approved,TIP WHITING
172,13014-20000-05056,ELECTRICAL-Rough,1/7/2014,Partial Approval,TIP WHITING
173,13014-20000-05056,Insulation,1/7/2014,Approved,TIP WHITING
174,13014-20000-05056,PLUMBING-Rough,1/7/2014,Approved,TIP WHITING
175,13014-20000-05056,Drywall Nailing,1/8/2014,Approved,TIP WHITING
176,13014-20000-05056,BUILDING-Rough-Frame,6/3/2014,Approved,TIP WHITING
177,13014-20000-05056,Final,6/3/2014,Corrections Issued,TIP WHITING
178,13014-20000-05056,Footing/Foundation/Slab,6/3/2014,Approved,TIP WHITING
179,13014-20000-05056,Green Building Final,6/3/2014,Approved,RICHARD DOCKUS
180,13014-20000-05056,SGSOV-Seismic Gas S/O Valve,6/3/2014,SGSOV Approved,TIP WHITING
181,13014-20000-05056,Smoke Detectors,6/3/2014,Approved,TIP WHITING
182,13014-20000-05056,Final,6/9/2014,Conditional Approval,JOHN COLEMAN
183,13014-20000-05056,ELECTRICAL-Final,6/12/2014,Approved,TIP WHITING
184,13014-20000-05056,Final,6/12/2014,OK to Issue CofO,TIP WHITING
185,17010-20000-02692,Excavation/Setback/Form/Re-Bar,10/30/2017,Approved,RAYMOND KEHOE
186,17010-20000-02692,Footing/Foundation/Slab,10/30/2017,Approved,RAYMOND KEHOE
187,17010-20000-02692,BUILDING-Rough-Frame,11/15/2017,Partial Approval,COREY HUPP
188,17010-20000-02692,PLUMBING-Rough,11/15/2017,Partial Approval,COREY HUPP
189,17010-20000-02692,Verify Sprinkler Sign Off,11/15/2017,Not Ready for Inspection,COREY HUPP
190,17010-20000-02692,BUILDING-Rough-Frame,12/19/2017,Not Ready for Inspection,COREY HUPP
191,17010-20000-02692,Floor/Roof Diaphrgm/Shear Wall,12/19/2017,Not Ready for Inspection,COREY HUPP
192,17010-20000-02692,Green Building Rough,12/19/2017,Not Ready for Inspection,COREY HUPP
193,17010-20000-02692,Shower Pan,12/19/2017,Approved,COREY HUPP
194,17010-20000-02692,Verify Sprinkler Sign Off,12/19/2017,Not Ready for Inspection,COREY HUPP
195,17010-20000-02692,ELECTRICAL-Rough,12/20/2017,Not Ready for Inspection,COREY HUPP
196,17010-20000-02692,Floor/Roof Diaphrgm/Shear Wall,12/20/2017,Partial Approval,COREY HUPP
197,17010-20000-02692,ELECTRICAL-Rough,12/22/2017,Not Ready for Inspection,COREY HUPP
198,17010-20000-02692,PLUMBING-Rough,12/22/2017,Not Ready for Inspection,COREY HUPP
199,17010-20000-02692,ELECTRICAL-Rough,1/17/2018,Not Ready for Inspection,COREY HUPP
200,17010-20000-02692,PLUMBING-Rough,1/17/2018,Not Ready for Inspection,COREY HUPP
201,17010-20000-02692,Wood Frame,1/17/2018,Partial Approval,COREY HUPP
202,17010-20000-02692,ELECTRICAL-Rough,1/19/2018,Approved,COREY HUPP
203,17010-20000-02692,PLUMBING-Rough,1/19/2018,Not Ready for Inspection,COREY HUPP
204,17010-20000-02692,BUILDING-Rough-Frame,1/23/2018,Not Ready for Inspection,RAYMOND KEHOE
205,17010-20000-02692,Green Building Rough,1/23/2018,Not Ready for Inspection,RAYMOND KEHOE
206,17010-20000-02692,HVAC-Rough,1/23/2018,Not Ready for Inspection,RAYMOND KEHOE
207,17010-20000-02692,Verify Sprinkler Sign Off,1/23/2018,Approved,RAYMOND KEHOE
208,17010-20000-02692,Wood Frame,1/23/2018,Not Ready for Inspection,RAYMOND KEHOE
209,17010-20000-02692,HVAC-Rough,1/24/2018,Not Ready for Inspection,COREY HUPP
210,17010-20000-02692,Floor/Roof Diaphrgm/Shear Wall,1/25/2018,Approved,COREY HUPP
211,17010-20000-02692,Interior/Exterior Lathing,1/25/2018,Partial Approval,COREY HUPP
212,17010-20000-02692,PLUMBING-Rough,1/25/2018,Approved,COREY HUPP
213,17010-20000-02692,Drywall Nailing,2/5/2018,Approved,KEVIN BEAULIEU
214,17010-20000-02692,Green Building Rough,2/5/2018,Approved,KEVIN BEAULIEU
215,17010-20000-02692,HVAC-Rough,2/5/2018,Approved,KEVIN BEAULIEU
216,17010-20000-02692,ELECTRICAL-Rough,2/27/2018,Approved,COREY HUPP
217,17010-20000-02692,HVAC-Rough,2/27/2018,Approved,COREY HUPP
218,17010-20000-02692,Insulation,2/27/2018,Approved,COREY HUPP
219,17010-20000-02692,Service/Power Release,3/1/2018,Not Ready for Inspection,COREY HUPP
220,17010-20000-02692,Sewer,3/9/2018,Approved,COREY HUPP
221,17010-20000-02692,Underground Mechanical,3/9/2018,Approved,COREY HUPP
222,17010-20000-02692,Service/Power Release,3/19/2018,Not Ready for Inspection,COREY HUPP
223,17010-20000-02692,Underground Mechanical,3/19/2018,Approved,COREY HUPP
224,17010-20000-02692,Service/Power Release,3/22/2018,Approved,RAYMOND KEHOE
225,17010-20000-02692,Smoke Detectors,3/22/2018,Approved,RAYMOND KEHOE
226,17010-20000-02692,Underground Mechanical,3/22/2018,Approved,RAYMOND KEHOE
227,17010-20000-02692,Gas Test,4/6/2018,Not Ready for Inspection,COREY HUPP
228,17010-20000-02692,Gas Test,4/9/2018,Partial Inspection,COREY HUPP
229,17010-20000-02692,BUILDING-Rough-Frame,5/29/2018,Approved,COREY HUPP
230,17010-20000-02692,Final,5/29/2018,Not Ready for Inspection,COREY HUPP
231,17010-20000-02692,Green Building Final,5/29/2018,Approved,COREY HUPP
232,17010-20000-02692,SGSOV-Seismic Gas S/O Valve,5/29/2018,SGSOV Approved,COREY HUPP
233,17010-20000-02692,Gas Test,6/1/2018,Approved,COREY HUPP
234,17010-20000-02692,Final,6/11/2018,OK to Issue CofO,COREY HUPP
235,14019-10000-02342,Final,10/9/2014,Permit Finaled,DAVID LEE
236,16016-20000-17540,Footing/Foundation/Slab,8/23/2016,Approved,RICHARD STEINBACH
237,16016-20000-17540,BUILDING-Rough-Frame,9/22/2016,Approved,RICHARD STEINBACH
238,16016-20000-17540,ELECTRICAL-Rough,9/22/2016,Approved,RICHARD STEINBACH
239,16016-20000-17540,HVAC-Rough,9/22/2016,Approved,RICHARD STEINBACH
240,16016-20000-17540,PLUMBING-Rough,9/22/2016,Approved,RICHARD STEINBACH
241,16016-20000-17540,Insulation,9/29/2016,Approved,RICHARD STEINBACH
242,16016-20000-17540,Interior/Exterior Lathing,9/29/2016,Partial Approval,RICHARD STEINBACH
243,16016-20000-17540,Shower Pan,9/29/2016,Approved,RICHARD STEINBACH
244,16016-20000-17540,Drywall Nailing,10/6/2016,Approved,RICHARD STEINBACH
245,16016-20000-17540,Interior/Exterior Lathing,11/4/2016,Approved,BOB DUNN
246,16016-20000-17540,Final,2/9/2017,Corrections Issued,RICHARD STEINBACH
247,16016-20000-17540,SGSOV-Seismic Gas S/O Valve,2/9/2017,SGSOV Approved,RICHARD STEINBACH
248,16016-20000-17540,Smoke Detectors,2/9/2017,Approved,RICHARD STEINBACH
249,16016-20000-17540,Final,2/15/2017,Permit Finaled,RICHARD STEINBACH
250,12016-30000-25644,BUILDING-Rough-Frame,2/8/2013,Not Ready for Inspection,GOURGEN PETROSSIAN
251,12016-30000-25644,Footing/Foundation/Slab,2/8/2013,Not Ready for Inspection,GOURGEN PETROSSIAN
252,12016-30000-25644,Footing/Foundation/Slab,2/11/2013,Corrections Issued,GOURGEN PETROSSIAN
253,12016-30000-25644,Footing/Foundation/Slab,2/12/2013,Approved,GOURGEN PETROSSIAN
254,12016-30000-25644,Footing/Foundation/Slab,2/26/2013,Approved,GOURGEN PETROSSIAN
255,12016-30000-25644,Underground Mechanical,3/6/2013,Approved,GOURGEN PETROSSIAN
256,12016-30000-25644,HVAC-Rough,3/8/2013,Corrections Issued,GOURGEN PETROSSIAN
257,12016-30000-25644,HVAC-Rough,3/11/2013,Corrections Issued,WILLIAM JIMENEZ
258,12016-30000-25644,PLUMBING-Rough,3/11/2013,Not Ready for Inspection,WILLIAM JIMENEZ
259,12016-30000-25644,ELECTRICAL-Rough,3/12/2013,Approved,FRED HANNUM
260,12016-30000-25644,HVAC-Rough,3/12/2013,Approved,FRED HANNUM
261,12016-30000-25644,PLUMBING-Rough,3/12/2013,Approved,FRED HANNUM
262,12016-30000-25644,BUILDING-Rough-Frame,4/1/2013,Approved,GOURGEN PETROSSIAN
263,12016-30000-25644,Insulation,4/12/2013,Approved,GOURGEN PETROSSIAN
264,12016-30000-25644,Interior/Exterior Lathing,4/12/2013,Approved,GOURGEN PETROSSIAN
265,12016-30000-25644,Shower Pan,4/12/2013,Approved,GOURGEN PETROSSIAN
266,12016-30000-25644,Drywall Nailing,5/3/2013,Approved,GOURGEN PETROSSIAN
267,12016-30000-25644,Interior/Exterior Lathing,5/10/2013,Approved,GOURGEN PETROSSIAN
268,12016-30000-25644,ELECTRICAL-Final,1/9/2015,Approved,ROBERT MCDOWELL
269,12016-30000-25644,Final,1/9/2015,Conditional Approval,ROBERT MCDOWELL
270,12016-30000-25644,HVAC-Final,1/9/2015,Approved,ROBERT MCDOWELL
271,12016-30000-25644,METHANE-Final,1/9/2015,Approved,ROBERT MCDOWELL
272,12016-30000-25644,PLUMBING-Final,1/9/2015,Approved,ROBERT MCDOWELL
273,12016-30000-25644,SGSOV-Seismic Gas S/O Valve,1/9/2015,SGSOV Not Ready,ROBERT MCDOWELL
274,12016-30000-25644,Smoke Detectors,1/9/2015,Approved,ROBERT MCDOWELL
275,12016-30000-25644,Final,10/29/2015,Permit Finaled,SCOTT FINNILA
276,12016-30000-25644,SGSOV-Seismic Gas S/O Valve,10/29/2015,SGSOV Approved,SCOTT FINNILA
277,17016-20000-28427,Pre-Inspection,10/12/2017,Approved,BRIAN SULLIVAN
278,17016-20000-28427,ELECTRICAL-Rough,10/25/2017,Approved,BRIAN SULLIVAN
279,17016-20000-28427,HVAC-Rough,10/25/2017,Approved,BRIAN SULLIVAN
280,17016-20000-28427,PLUMBING-Rough,10/25/2017,Approved,BRIAN SULLIVAN
281,17016-20000-28427,Drywall Nailing,11/2/2017,Approved,BRIAN SULLIVAN
282,17016-20000-28427,Insulation,11/2/2017,Approved,BRIAN SULLIVAN
283,17016-20000-28427,Final,12/7/2017,Permit Finaled,BRIAN SULLIVAN
284,17016-20000-28427,Smoke Detectors,12/7/2017,Approved,BRIAN SULLIVAN
285,16014-20000-03168,Deputy Drilled-In Anchors,8/29/2016,Partial Approval,JOHN KIDWELL
286,16014-20000-03168,Footing/Foundation/Slab,9/1/2016,Approved,PIERRE VEGA
287,16014-20000-03168,PLUMBING-Rough,9/1/2016,Partial Approval,PIERRE VEGA
288,16014-20000-03168,Floor/Roof Diaphrgm/Shear Wall,9/8/2016,Partial Approval,JOHN KIDWELL
289,16014-20000-03168,Floor/Roof Diaphrgm/Shear Wall,9/23/2016,Approved,JOHN COLEMAN
290,16014-20000-03168,Floor/Roof Diaphrgm/Shear Wall,10/24/2016,Partial Approval,JOHN KIDWELL
291,16014-20000-03168,PLUMBING-Rough,10/24/2016,Approved,JOHN KIDWELL
292,16014-20000-03168,BUILDING-Rough-Frame,11/3/2016,Approved,JOHN KIDWELL
293,16014-20000-03168,ELECTRICAL-Rough,11/3/2016,Approved,JOHN KIDWELL
294,16014-20000-03168,Green Building Rough,11/3/2016,Approved,JOHN KIDWELL
295,16014-20000-03168,HVAC-Rough,11/3/2016,Approved,JOHN KIDWELL
296,16014-20000-03168,Insulation,11/9/2016,Approved,KEVIN BEAULIEU
297,16014-20000-03168,Shower Pan,11/16/2016,Approved,KEVIN BEAULIEU
298,16014-20000-03168,Drywall Nailing,11/17/2016,Approved,CHRISTOPHE COCHRAN
299,16014-20000-03168,Interior/Exterior Lathing,12/1/2016,Approved,BEAU COLLINS
300,16014-20000-03168,Final,3/29/2017,Partial Approval,COREY HUPP
301,16014-20000-03168,Green Building Final,3/29/2017,Approved,COREY HUPP
302,16014-20000-03168,SGSOV-Seismic Gas S/O Valve,3/29/2017,SGSOV Approved,COREY HUPP
303,16014-20000-03168,Smoke Detectors,3/29/2017,Approved,COREY HUPP
304,16014-20000-03168,Final,3/31/2017,OK to Issue CofO,COREY HUPP
305,17016-10000-12517,PLUMBING-Rough,9/11/2017,Approved,ROBERT MCDOWELL
