,permit_ID,full_description
62,19014-30000-00312,CONVERT (E) BALCONY TO A (N) BATHROOM & SEATING AREA.    COMPLY WITH DEPARTMENT ORDER effective date 10/27/2017.  PERMIT WILL EXPIRE 30-DAYS FROM ISSUANCE DATE.  CEIS Case Number is 789100.
63,16014-20000-01720,"CONVERT (E) GARAGE ON 1ST FLOOR OF (E) 2-STORY SFD OVER GARAGE TO UNPERMITTED DWELLING UNIT, ADD TO 1ST & 2ND FLRS (9'-7"" X 21'-8"") CREATING A DUPLEX; INTERIOR REMODEL"
64,19016-20000-03962,"CONVERT (E) 18'-0"" X 20'-0"" GARAGE TO ACCESSORY DWELLING UNIT PER AB 494 & SB 229. ALL WORK DONE PER WFPP."
65,19016-20000-15754,"CONVERT (E) 20'-0""x 21'-0"" ATTACHED TWO CAR GARAGE TO ACCESSORY DWELLING UNIT PER AB 494 AND SB 229. WORK PER LA STD WFPP."
66,19014-30000-00309,CONVERT (E) BALCONY TO A (N) BATHROOM & SEATING AREA.    COMPLY WITH DEPARTMENT ORDER effective date 10/27/2017.  PERMIT WILL EXPIRE 30-DAYS FROM ISSUANCE DATE.  CEIS Case Number is 789100.
67,19016-20000-24249,CONVERT A PORTION OF THE (E) BEDROOM INTO A (N) BATHROOM PER WFPP.
68,18016-30000-23829,CONVERT (E) REC ROOM ABOVE 2-CAR GARAGE TO ACCESSORY DWELLING UNIT (ADU) PER AB 494 AND SB 229.
69,19014-20000-01863,"25'0""X16'1"" ADDITION TO AND CONVERT THE (E) GARAGE INTO A (N) ADU PER AB 494 AND SB 229 FOR ACCESSORY DWELLING UNITS. ALL WORK PER WFPP"
70,17010-10000-02391,"(N) 1-story 15'x 25'-6"" accessory living quarter w/ bath room for pool use   (e) sfd exceeded rfa  per permit # 13014-20k-04960 max allowed 7320 sf < (e) 7398sf + 510 sf - 200 sf = 7708 sf"
71,19016-20000-17915,"REMODEL (E) SINGLE FAMILY DWELLING TO CONVERT PORTION OF (E) BEDROOM, BATHROOM & W.I.C. TO CREATE A (N)  BEDROOM, BATHROOM & W.I.C. ALL WORK DONE PER STRUCTURAL ENGINEERING."
72,17016-70000-37838,CONVERT EXISTING ATTACHED GARAGE INTO ACCESSORY DWELLING UNIT PER AB 2299 AND SB 1069.
73,17014-20000-04014,"PROPOSE (N)16'-6""X23'-6"" ONE STORY ACCESSORY DWELLING UNIT PER AB 2299 AND SB 1069"
74,18016-20000-38361,CONVERT DETACHED GARAGE (92VN11357) TO ACCESSORY DWELLING UNIT PER AB449 & SB292
75,18016-20000-05132,CONVERT EXISTING 20'-0'X 22'-0'' ATTACHED GARAGE TO ACCESSORY DWELLING UNIT PER AB494 & SB229. WORK PER WFPP.
76,18016-20000-24051,"CONVERT (E) 18'-3"" X 20'-0"" DETACHED GARAGE TO (N) ACCESSORY DWELLING UNIT PER AB 494 AND SB 229. ALL WORK PER ENGINEERING."
77,19016-20000-07630,CONVERT (E) DETACHED GARAGE TO ACCESSORY DWELLING UNIT PER AB 494 AND SB 229
78,19043-10000-03318,"NFPA 13D system for SFD with attached ADU conversion (single building permit). 1""meter. 1 1/2"" underground with 1 1/2"" PRV.  Third floor addition to existing SFD with attached garage. Convert garage and 1st floor into ADU per AB494 and SB229."
79,19016-20000-07331,"CONVERT (E) 19'-6"" X 20'-0"" DETACHED GARAGE TO (N) ACCESSORY DWELLING UNIT PER AB 494 AND SB 229. ALL WORK PER DESIGN."
80,17014-10001-01031,SUPPLEMENTAL PERMIT #17014-20000-01031 TO CONVERT (E) CARPORT TO 2-CAR GARAGE; SCOPE OF WORK TO INCLUDE REVISIG FOUNDATION AND ROOF PLANS
81,17016-10000-19202,Convert existing attached garage into ADU per AB 2299 & SB 1069. No change in building footprint. See comments.
82,16030-20000-07641,SITE GRADING. REMOVAL AND RECOMAPCTION BEHIND RETAINING WALL AND UNDER PROPOSED FOUNDATION.
83,19016-20000-21450,"CONVERT(E) 20'-0""x 29'-0"" DETACHED  RECREATION ROOM TO ACCESSORY DWELLING UNIT PER AB 494 AND SB 229. (SEE COMMENTS)."
84,19014-20000-00137,CONVERT IRREGULAR SHAPE 24' X 18.5' BASEMENT STORAGE AND CRAWL SPACE TO DEN PER ENGINEERING.  See comment.
85,17014-10000-04568,ADD NEW 2 STORY A.D.U. ATTACHED 977SF TO THE REAR OF THE EXISTING GARAGE PER AB-2299 and SB-1069.
86,18016-20000-40084,"CONVERT (E) 18'-1"" X 18'-4"" ATTACHED GARAGE TO (N) ACCESSORY DWELLING UNIT PER AB 494 AND SB 229. ALL WORK PER WFPP."
87,17016-70000-30141,"CONVERT (E) GARAGE (18'-2"" x 19', 345 SF) TO ACCESSORY DWELLING UNIT PER SB1069 AND AB2299."
88,17010-10000-02137,(N) Accessory Dwelling Unit per AB2299 and SB1069.
89,18014-10000-07092,"REMODEL EXISTING DWELLING, CONVERT EXISTING GARAGE TO LIVING SPACE, NEW ATTACHED 1-CAR CARPORT TO BE PROVIDED."
90,17016-20000-31988,"CONVERT (E) 21'X18'-3"" GARAGE TO ACCESSORY DWELLING UNIT PER AB2299 AND SB1069. PER ENGINEER."
91,18016-20000-17429,"INTERIOR REMODEL TO (E)SINGLE FAMILY DWELLING. CONVERT DEN,GAMING ROOM  AND BEDROOM AT LOWER LEVEL INTO MASTER SUITE, BATHROOM, LAUNDRY ROOM AND WALK IN CLOSET."
92,19014-20000-01495,"36'-11"" X 25'-8"" IRREG SHAPED ADDITION TO AND CONVERT STORAGE ROOM TO ACCESSORY DWELLING UNIT PER AB 494 AND SB 229."
93,19016-20000-08616,ECPC WALK IN: CONVERT THE (E) TWO CAR GARAGE INTO A (N) ADU PER AB 494 AND SB 229 FOR ACCESSORY DWELLING UNITS.
94,19016-30000-11107,INTERIOR REMODEL TO CONVERT LAUNDRY ROOM TO BATHROOM.
95,17016-20000-17665,CONVERT (E) 20' X 30' DETACHED GARAGE/STORAGE BUILDING TO (N) ACCESSORY DWELLING UNIT PER AB 2299 AND SB 1069. ALL WORK PER ENGINEERING.
96,19016-20000-07582,"INTERIOR ALTERATIONS TO CONVERT THE (E) BEDROOM INTO A (N) STUDY AND REMOVE THE CLOSET. ""COMPLY WITH DEPARTMENT ORDER effective date 07/19/2018. PERMIT WILL EXPIRE 30 DAYS FROM ISSUANCE DATE""."
97,18010-20000-05607,NEW 40' X 29' DETACHED ACCESSORY DWELLING UNIT PER AB 494 AND SB 229.  ALL WORKS ARE PER DESIGN
98,18016-30000-17737,CONVERSION OF (E) GARAGE TO (N) ACCESSORY DWELLING UNIT PER AB 494 & SB 229
99,18016-10000-10869,CONVERT (E) REC ROOM AND GARAGE TO ACCESSORY DWELLING UNIT per AB 494 and SB 229. ALL WORK PER ENGINEER
100,19019-70000-05844,DEMO (2) ACCESSORY BUILDINGS AT THE REAR OF LOT. SINGLE FAMILY DWELLING IN FRONT TO REMAIN.
101,19043-20000-00251,"NEW 37'-10"" x 24'-10"" IRREGULAR SHAPED DETACHED ACCESSORY DWELLING UNIT WITH ONE CAR GARAGE PER AB 494 AND SB 229"
102,18014-20000-06170,Convert (E) 4'-4''x 20'-0'' attached covered patio at front of (E) SFD to enlarge living room.
103,19016-20000-23165,"CONVERT 20' 4"" X 18' 4"" DETACHED 2-CAR GARAGE TO ACCESSORY DWELLING UNIT. ALL WORK DONE PER WOOD FRAME PRESCRIPTIVE PROVISIONS."
104,18016-20000-32880,CONVERT EX DET 2-CAR GARAGE INTO ACCESSORY DWELLING UNIT PER AB 494 AND SB 229. TWO NEW OPEN PARKING STALLS FOR EX HOUSE TO BE PROVIDED PER PLAN. SEE COMMENTS.
105,19043-30000-02196,"NFPA 13D SYSTEM FOR A PROPOSED ACCESSORY DWELLING UNIT LOCATED AT REAR OF LOT. NEW 1"" DOMESTIC METER, NO BACKFLOW"
106,16016-30000-05903,Convert existing detached carport into a garage and convert existing storage building into recreation room and storage room.
107,18016-20000-05548,"CONVERT (E) 22' X 22' RECREATION ROOM AND 9' 1/2"" X 3'-5"" PORTION OF STORAGE  INTO ACCESSORY DWELLING UNIT AS  PER AB 494 AND SB 229. ALL WORK PER DESIGN"
108,18010-20000-00083,"(N) 24'-0""x 28'-0"" TWO STORY ACCESSORY DWELLING UNIT PER AB 494 & SB 229."
109,18016-30000-40310,CONVERSION OF (E) GARAGE TO (N) ACCESSORY DWELLING UNIT PER AB 494 & SB 229
110,18014-20000-04115,"CONVERT EX MASTER BATH, CLOSET & HALLWAY INTO BEDRM. CONVERT POR OF EX MASTER BEDRM INTO NEW BATH & CLOSET. ADDITION TO EXPAND EX MASTER BEDRM (15'6""X11'6""). ALL WORK PER WFPP."
111,19014-20000-02417,"9'-6"" x 17'-9"" (151 SQ. FT.) ADDITION TO AND CONVERT THE (E) GARAGE INTO A (N) ACCESSORY DWELLING UNIT PER AB 494 AND SB 229.  ALL WORKS ARE PER DESIGN."
112,18016-20000-30612,CONVERT EX ATT 2- CAR GARAGE INTO ACCESSORY DWELLING UNIT PER AB 494 AND SB 229 W/STORAGE RM. ALL WORK PER WFPP. SEE COMMENTS.
113,19016-20000-22766,"CONVERT (E) DETACHED GARAGE INTO A (N) RECREATION ROOM. WORK DONE PER WFPP. ""COMPLY WITH DEPARTMENT ORDER effective date 12/10/2018. PERMIT WILL EXPIRE 30 DAYS FROM ISSUANCE DATE"""
114,18010-20000-06242,NEW ADU PER AB 494 AND SB 229
115,19014-70000-00004,NEW 2 STORY ADDITION TO EXISTING GARAGE FOR ACCESSORY DWELLING UNIT PER AB 494 AND SB 229
116,18010-10000-01053,"(N) 2-STORY ACCESSORY DWELLING UNIT (1,200 S.F.) OVER NEW 3-CAR GARAGE AT REAR YARD per AB 494 and SB 229."
117,19016-20000-07164,"CONVERT 21'-7"" X 33'-0"" PORTION OF (E) STORAGE (IRERGULAR SHAPE) TO HABITABLE AREA. CONVERT (E) ATTACHED ONE CAR GARAGE TO RECROOM WITH 1/2 BATH. (SEE COMMENTS)"
118,17016-10000-26281,CONVERT EXISTING DETACHED STRUCTURE INTO ADU PER AB 2299 AND SB1069
119,17014-20000-01578,"CONVERT 12'0"" X 18'8"" PORTION OF (E)  GARAGE TO STORAGE , CONVERT IREEGULAR 7' X 22'8"" PORTION OF (E) GARAGE AND 24'8"" X 19' 2ND FLOOR ADDITION ABOVE (E) GARAGE TO ACCESSORY DWELLING UNIT AS PER AB 2299 AND SB 1069  , ALL WORK PER ENGINEERING"
120,19014-20000-04716,"RE-SLAB DETACHED GARAGE,  ADD 13' X 10'7"" AND CONVERT TO ACCESSORY DWELLING UNIT PER AB494 & SB229"
121,18014-20000-06820,"REMOVE (2' X 17'-10"") OF (E) GARAGE AND CONVERT (E) (17'-10"" X 18'-2"") DETACHED GARAGE AND ADD (12'-6"" X 16'-2"") TO CREATE A (N) ACCESSORY DWELLING UNIT PER AB 494 AND SB 229 &  ADD (4' X 16'-2"") FOR (N) ATTACHED TRELLIS PATIO COVER PER CITY DETAILS. ALL WORK PER WFPP."
122,19016-10000-08265,CONVERT (E) GARAGE 360 SF TO ADU PER AB 494 and SB 229 per WFPP.
123,17016-10000-13133,PROPOSED CONVERSION OF (E) GARAGE TO ACCESSORY DWELLING UNIT PER SB229 AND AB494 AND ADDITION
124,18016-10000-33671,"CONVERT EXISTING 22'8"" X 21'2"" DETACHED 2-CAR GARAGE TO ACCESSORY DWELLING UNIT PER SB 229 & AB 494. ALL WORK PER WFPP"
125,17014-10000-03014,"ADD TO AND CONVERT GARAGE WITH ATTACHED STORAGE ROOM TO ( N ) ACCESSORY DWELLING UNIT ( ADU ) WITH ATTACHED GARAGE , PER AB 2299 AND SB 1069 ."
126,18010-10000-01638,"NEW 28'10""X 31' IRREGULAR SHAPED 2-STORY ACCESSORY DWELLING UNIT PER AB 494 & SB 229. NFPA 13D FIRE SPRINKLERS REQ'D"
127,18043-20000-02654,"NEW 13D SYSTEM FOR ACCESSORY DWELLING UNIT. 1 INCH METER, NO BACKFLOW"
128,18016-30000-33396,"CONVERSION OF (E) GARAGE TO (N) ACCESSORY DWELLING UNIT PER AB 494 & SB 229, & STORAGE."
129,18016-10000-28959,"INTERIOR KITCHEN AND BATHROOM REMODEL, NEW LIGHTS, CONVERT EXISTING TWO BEDROOM, BATHROOM AND (E) STORAGE INTO A NEW MASTER BEDROOM, INCLUDING BATHROOM. WINDOW CHANGE OUT (15 WINDOWS) SAME SIZE AND LOCATION."
130,18014-10000-06273,CONVERT (E) GARAGE TO KITCHEN AND BEDROOM; ADDITION 150.53 SQ FT  ADD (2) UNCOVERED PARKING SPACES
131,18016-20000-38130,CONVERT (E) GARAGE INTO  NEW ACCESSORY DWELLING UNIT PER AB 494 AND SB 229 . WORK PER WFPP.
132,19016-20000-15795,CONVERT (E) ACCESSORY LIVING QUARTERS ABOVE THE GARAGE INTO A (N) ACCESSORY DWELLING UNIT PER AB 494 AND SB 229.
133,18014-20000-07132,"Add 16' x 18'2"" to the rear for new bedroom, convert attached garage and irregular shape 15' x 17.5' (194 SF) portion of dwelling area to accessory dwelling unit per AB494 & SB229.  All works area per WFPP"
134,18016-10000-30560,CONVERT EXISTING ATTACHED GARAGE INTO AN ACCESSORY DWELLING UNIT PER AB 494  AND  SB 229.
135,18016-20000-22023,"CONVERT (E) 20'-7"" X 17'-11"" ATTACHED GARAGE TO (N) ACCESSORY DWELLING UNIT PER AB 494 AND SB 229. ALL WORK PER ENGINEERING."
136,15014-20000-04923,"ADDITION & REMODEL TO (E) SFD: ADD (N) NEW STAIRWAY, CONVERT PORTION OF (E)STORAGE INTO WALK-IN CLOSET"
137,18010-20000-03546,"NEW 31' 6"" X 20'  ACCESSORY DWELLING UNIT PER AB 494 AND SB 229. ALL WORK DONE PER STRUCTURAL ENGINEERING."
138,18010-20000-05920,"NEW 41'-6"" X 32'-0"" IRREGULAR SHAPED ACCESSORY DWELLING UNIT PER AB 494 & SB 229."
139,18030-30000-03185,SITE GRADING FOR  (N) ACCESSORY DWELLING UNIT W/ATT GARAGE
140,19016-20000-24306,PROPOSED NONSTRUCT INT REMODEL: CONVERT EX DEN INTO BEDRM. CREATE NEW LAUNDRY RM & BATHRM PER PLAN. REMOVE & REPLACE EXISTING WINDOWS W/ SAME SIZE/TYPE/LOCATION. REMODEL EX BATHRMS & KITCHEN. ALL WORK PER WFPP.
141,19016-10000-09446,INTERIOR REMODEL TO (E) SINGLE FAMILY DWELLING. CONVERT CLOSET TO 1/2 BATH. EXTERIOR ALTERATION TO INFILL EXTERIOR WALL OPENINGS AND RELOCATE OPENINGS. NEW INTERIOR WALL LAYOUT. WORK PER ENGINEER.
142,19016-30000-15612,Interior remodel to convert Den into bedroom and bathroom. New exterior door.
143,18010-10000-01637,"NEW 28'10""X31' IRREGULAR SHAPED ACCESSORY DWELLING UNIT PER AB 494 & SB 229. NFPA 13D FIRE SPRINKLERS REQ'D"
144,19014-20000-04885,ADD 18' X 27' ATTACHED CARPORT PER CITY STANDARD AND CONVERT ATTACHED GARAGE TO ACCESSORY DWELLING UNIT PER AB 494 AND SB 229
145,18016-20000-40030,"CONVERT (E) 18'-2"" X 20' DETACHED GARAGE INTO A (N) ACCESSORY DWELLING UNIT PER AB 494 AND SB 229. ALL WORK PER WFPP."
146,19016-20000-35218,CONVERT DETACHED GARAGE INTO AN ACCESSORY DWELLING UNIT PER AB 494 AND SB 229
147,18010-10000-01659,"(N) 2-STORY ACCESSORY DWELLING UNIT PER AB494 & SB229 OVER 2-CAR GARAGE, CARPORT & BATHROOM (NFPA-13D FIRE SPRINKLERS THROUGHOUT)"
148,18016-10003-02370,SUPPLEMENTAL TO PERMIT 18016-10000-02370 TO CONVERT EXISTING REC-ROOM TO  ACCESSORY DWELLING UNIT  PER AB 494 AND SB 229. AND REMOVE NEW CARPORT FROM SCOPE OF WORK
149,19016-20000-26751,CONVERT ATTACHED GARAGE TO ACCESSORY DWELLING UNIT PER AB 494 AND SB 229 FOR ACCESSORY DWELLING UNITS.
150,14010-30003-02496,Supplemental permit to revise floor plan in accessory living quarters and add roof deck to building.
151,19010-20000-01823,"NEW 29'3"" X 16'8"" DETACHED ACCESSORY DWELLING UNIT  PER AB494 AND SB229.  All works are per WFPP"
152,18016-10000-40028,CONVERT EXISTING FIRST FLOOR (LOWER LEVEL) OF EXISTING SFD INTO ACESSORY DWELLING UNIT PER SB229 AND AB494.
153,19016-30000-08526,"CONVERT EXISTING 1-STORY TYPE VB SINGLE FAMILY DWELLING WITH ATTACHED 1-CAR GARAGE AND PATIO INTO SINGLE FAMILY DWELLING WITH ATTACHED 1-CAR CARPORT AND PATIO, REMOVE ATTACHED PATIO STRUCTURE IN REAR."
154,19014-20000-02954,"Add 11'6"" X 21'8"" to and Convert irregular shape 11'3"" x 21' portion of attached garage to accessory dwelling unit as per AB 494 & SB 229 , existing 10' x 21' one car garage to remain.  All works are per WFPP"
