,permit_ID,full_description
20,12016-30000-25644,"Interior remodel including replace/ infill windows, convert portion of storage room to bathroom. Remodel second floor bathrooms. Remove access to basement and convert to under floor area."
21,17016-20000-28427,CONVERT PORTION OF LAUNDRY ROOM TO NEW 1/2 BATHROOM AND FILL IN 1 EXTERIOR DOOR OPENING.  ALL WORKS ARE PER WFPP.
22,16014-20000-03168,"Addition and remodel to (e) two story SFD; On the first floor: Convert IRR. shape 10'8 1/2""x7'6"" portion of garage into a Rec.room. Remodel  kitchen, family room and dining room. On the 2nd floor: add 16'5""x20' 2 1/2"" including one master bedroom and bathroom. See comments."
23,17016-10000-12517,CONVERT (E) DEN TO A BEDROOM AND REMODEL BATHROOM. ALL WORK PER ENGINEERING.
24,18043-10000-03954,NFPA 13D SYSTEM FOR ADU. CONNECTION TO 1 INCH DOMESTIC WATER METER.
25,17016-20000-22929,CONVERT (E) GARAGE TO STORAGE.
26,14016-70000-04161,INTERIOR REMODEL. CONVERT TWO EXISTING CLOSETS TO BATHROOM AND KITCHEN REMODEL.
27,14016-30000-24930,Convert bedroom closets to new full bathroom on 2nd floor.No exterior alterations.
28,14014-20000-05289,"PROPOSED BEDROOM EXTENSION AT REAR (11'8""X17'5""). CONVERT POR OF BEDROOM TO BATHRM & CLOSET. ALL WORK PER 2011 WFPP."
29,13019-20000-01618,DEMO PERMIT FOR SFD AND 2 ACCESSORY BLDGS
30,13016-10000-17846,Convert (e) duplex into single family dwelling to create two bedroom w/one full bathroom  sfd per WFPP.
31,17014-30000-00833,CONVERTING EXISTING DETACHED GARAGE TO NEW ACCESSORY DWELLING UNIT PER AB-2299 AND SB-1069 ALONG WITH ATTACHING A NEW CARPORT TO THE ADU.
32,12014-30000-03160,ALTERATION OF EXISTING ACCESSORY LIVING QUARTERS. (no new floor area)
33,17016-20000-08265,CONVERT (E) BATHROOM TO EXPAND AND REMODEL KITCHEN. CREATE 2 (N) BATHROOMS IN (E) BEDROOMS. CREATE OPENING FOR (N) WINDOWS. ALL WORK PER WFPP.
34,15014-10001-04684,Convert walk-in closet into new master bathroom on the second floor. Per delta 3 on drawings.
35,16019-30000-01178,"DEMOLITION OF S.F.D. WITH ATTACHED GARAGE AND A DETTACHED ACCESSORY BUILDING. CLEAR THE LOT. DPI W/POSTING 16019-30000-00647, SEWER CAP REQ, FENCE PROTECTION"
36,16016-70000-03009,"Interior alteration to existing single family dwelling to convert kitchen into a bedroom, relocate the kitchen, new bathroom, remodel existing bathroom, replace 19 windows (same size and location)."
37,12030-20000-05921,"Site prep for new accessory living quarter, and swimming pool"
38,17016-20000-15227,"INTERIOR REMODEL TO EXISTING TWO STORY SINGLE FAMILY DWELLING. CONVERT BEDROOM TO LAUNDRY ROOM AND CONVERT DEN TO BEDROOM. REMOVE AND RELOCATE INTERIOR WALLS. REMODEL BATHROOMS AND  KITCHEN. REPLACE DOORS, WINDOWS, AND REROOF."
39,14016-20000-06730,"REMODEL INTERIOR TO REMOVE A FULL BATH, A 3/4 BATH, CONVERT DEN TO LIVING ROOM, REDUCE 1 BEDROOM SIZE, ENLARGE FRONT WINDOW, ADD NEW CEILING, BUILD NEW 1/2 BATH AND LAUNDRY ROOM.  ALL WORKS PER WFPP DETAILS."
40,17016-10000-06891,"INTERIOR REMODEL OF EXISTING 2 STORY DUPLEX TO CONVERT WALK IN CLOSETS TO BATHROOMS. ADD (N) BATHROOM AT (E) DEN 3 NEW. REPLACE ALL WINDOWS ( SAME SIZE & LOCATION).  REMOVE/REPLACE KITCHEN CABINETS, PLUMBING FIXTURES, REPLACE EXISTING BATHROOM FIXTURES. EXTERIOR REMODEL- REROOF"
41,15016-20000-18202,"REMOVE (E) 3'-7"" X 23'-0"" PORTION OF (E) STORAGE AND CONVERT (E) 14'-7"" x 23'-0"" STORAGE TO (N) RECREATION ROOM W/ WET BAR PER WFPP. COMPLY WITH DEPARTMENT ORDER EFFECTIVE DATE 5/27/15. PERMIT WILL EXPIRE 30 DAYS FROM ISSUANCE DATE."
42,16016-20000-19229,CONVERT (E) LAUNDRY ROOM TO BATHROOM AND CONVERT CLOSET TO LAUNDRY ROOM. INTERIOR REMODEL OF BATHROOMS AND KITCHEN. FILL-IN (1) EXTERIOR DOOR.
43,16014-30000-02947,"Convert e. duplex to single family dwelling and 4'x16'-6"" addition"
44,15016-10000-18443,CONVERT 2-STORY DUPLEX TO SINGLE FAMILY DWELLING.
45,15016-20000-23883,"INTERIOR REMODEL OF KITCHEN AND BATHROOMS (ONE BATHROOM CONVERTING TO 3/4 BATH FROM FULL BATH), CONVERT LIVING ROOM TO (N) BEDROOM AND (N) ENTRY AND REMOVE AND REPLACE WINDOWS PER PLAN"
46,17016-20000-04192,"CONVERT 17'7"" x 22'2"" ATTACHED GARAGE TO ACCESSORY DWELLING UNIT PER AB 2299 AND SB 1069"
47,17016-10000-07363,"INTERIOR REMODEL TO CONVERT ONE BEDROOM TO 2 BEDROOM SINGLE FAMILY DWELLING. REMODEL KITCHEN, BATH & LIVING ROOM CEILING.  REPLACEMENT OF 11 WINDOWS NEW REAR DOORS WITH NEW LANDING /STAIRS AND RAILINGS REMOVAL OF SECURITY BARS.REPAINT EXISTING HOUSE AND A NEW GARAGE DOOR.  WFPP METHOD"
48,15043-10000-01053,"NFPA 13D FOR ACCESSORY LIVING QUARTERS. SHARING A 1 INCH WATER METER WITH THE MAIN HOUSE. MAX SPACING 14X14 (SIDEWALLS).   ""COMPLY WITH DEPARTMENT ORDER effective date 10/08/2014. PERMIT WILL EXPIRE 30 DAYS FROM ISSUANCE DATE""."
49,15016-20000-22979,CONVERT (E) CLOSET ON SECOND STORY INTO A FULL BATHROOM
50,13010-20001-02010,Supplemental permit to change the use from SFD to MODEL dwelling AND UPDATE LEGAL DESCRIP FOR THE RECORDED TRACT MAP NO. 71871
51,17016-10000-34286,INTERIOR REMODEL OF (E) SFD; KITCHEN REMODEL; CONVERT EXISTING BATHROOM TO MASTER BATHROOM; CONVERT CLOSET TO NEW BATHROOM (TOILET AND SINK ONLY); ENLARGE EXISTING WINDOW OPENINGS WITHIN BEDROOM TO MEET EMERGENCY EGRESS. NO CHANGE IN FLOOR AREA. NEW BEAM AND FOOTING PER ENGINEER DESIGN.
52,16010-20001-04584,SUPPLEMENTAL PERMIT TO 16010-20000-04584 TO CONVERT (E) 17' x 13' RECREATION ROOM TO AN ACCESSORY DWELLING UNIT PER AB 2299 AND SB 1069
53,13016-10000-14485,Convert existing laundry room to bathroom.  No additional floor area.
54,15016-10000-10821,CONVERT (E) STORAGE UNIT TO HABITABLE RECREATIONROOM .
55,13014-10000-04534,Enclose existing covered porch and convert to unconditioned sun-room.  Install new door and windows.  No change to building footprint.
56,13014-30000-02914,CONVERT (E) CARPORT TO (N) 2-CAR GARAGE
57,13016-10000-01363,INTERIOR REMODEL OF EXISTING 1-STORY S.F.D.  & CONVERT (E) DINING ROOM TO BEDROOM  &  REPLACE 9 WINDOWS &  REMODEL KITCHEN & BATHROOMS  (ALL WORK TO BE NON-STRUCTURAL)
58,17010-20001-03381,"Supplemental to 17010-70000-03381 to add U occupany to structural inventory. No fee, department error."
59,15016-20000-01805,"Interior remodel of kitchen, convert (ex) nook into laundry area, convert (ex) laundry area into bathroom, expand an (ex) closet and remodel (ex) bathroom.  Change 5 windows same size and location."
60,16016-20000-07932,INTERIOR REMODEL ON 4TH FLOOR TO CONVERT (1) BATHROOM TO (2) 3/4 BATH. REMOVE AND REPLACE WINDOWS AT 4TH FLOOR. ALL WORK PER ENG.
61,14016-20000-11001,"3 STORIES REMODELING CONSISTS OF: CONVERT BASEMENT  RECREATION ROOM TO BEDROOM WITH 3/4 BATH, REMODEL ENTRY LEVEL 1/2 BATH, REMODEL 2ND FLOOR BATHROOM AND COMBINE 2 BEDROOMS INTO A SINGLE MASTER BEDROOM WITH NEW FULL BATH..  ALL WORKS WITHIN EXISTING BUILDING FOOTPRINT."
62,14014-30002-02548,"Supplemental permit to permit number 14014-30000-02548 to add uncovered deck, balcony, and skylights"
63,15016-20000-00557,CONVERT EXISTING ROOM INTO A (N) BATHROOM IN (E) DWELLING. INTERIOR ALTERATION ONLY NO EXTERIOR WORK.
64,15014-10000-00197,CONVERT EXISTING BASEMENT ON LIVING SPACE  1 BEDROOM/BATH AND NEW BALCONY
65,17016-20000-13290,CONVERT EXISTING CLOSET TO FULL BATHROOM. NO STRUCTURAL CHANGE.
66,16019-10000-03376,DEMO (E) DETACHED GARAGE (ACCESSORY TO DUPLEX) BY HANDWRECK METHOD.  SEWER CAP IS NOT REQUIRED.  CLEAR AND FENCE LOT.
67,13016-10000-22128,INTERIOR REMODEL OF (E) ONE STORY SFD: CONVERT WALK-IN CLOSET TO A BATHROOM AND CREATE A NEW CLOSET INSIDE (E) BEDROOM
68,15014-10000-03463,"Convert portion of existing covered pation into living space (20' x 22.5', 448 sf), add a storage room (8' x 20', 161 sf) and new attached covered patio (20' x 10', 201 sf). See comments for RFA  -- DO NOT ISSUE UNTIL LOT CUT DATE IS VERIFIED"
69,13014-20000-00623,"ADD  TO SFD  & CONVERT PORTION CARPORT TO BEDROOM ,  ADD NEW ATTACHED GARAGE. BEDROOMS.ENCLOSED (E) BREEZEWAY."
70,17016-20000-12318,"NON STRUCTURAL INTERIOR REMODEL TO CONVERT (E) DUPLEX INTO A SINGLE FAMILY DWELLING. RELOCATE ONE KITCHEN, CONVERT (E) KITCHEN INTO A BEDROOM, AND ENLARGE (E) BATHROOM."
71,17043-10000-05251,"NFPA 13D SYSTEM FOR ACCESSORY DWELLING UNIT. 13 HEADS. CONNECTION TO 1 INCH DOMESTIC METER, NO BACKFLOW."
72,14016-20000-08560,"ENLARGE AND REMODEL KITCHEN, CONVERT (2) BEDROOMS INTO ONE"
73,17016-20000-00692,CONVERT 24' X 24' DETACHED GARAGE TO ACCESSORY DWELLING UNIT PER AB 2299 & SB 1069
74,17014-20000-01871,"CONVERT PORTION OF (E) GARAGE (9'1"" X 8')  TO  ENLARGE BATHROOM AND  1ST  AND 2ND FLOOR ADDITION TO (E) SFD  AND KITCHEN / BATHS / LAUNDRY  INTERIOR REMODEL"
75,15030-10000-05288,"GRADING WORK FOR NEW DETACHED ACCESSORY BUILDING (41'X26'), WHICH INCLUDES BASEMENT, 3-CAR GARAGE, AND ACCESSORY LIVING QUARTER."
76,14016-20000-14239,Remodel (e) to replace exterior sliding doors and upgrade related structural components;
77,18016-20000-13216,NON STRUCTURAL INTERIOR REMODEL TO CONVERT PORTION OF BATHROOM TO CREATE LAUNDRY ROOM.
78,12030-10000-05440,EXCAVATION & BACKFIL FOR RAINWATER COLLECTION  TANKS ACCESSORY TO SINGLE FAMILY DWELLING. (137 C.Y.)
79,17016-20000-17284,INT-NON STRUCTURAL REMODEL TO CONVERT PORTION OF EXISTING BATHROOM TO BEDROOM.
80,14014-10000-00315,"ADD 1-STORY ADDITION, REMOVE (E) GARAGE AT REAR  AND CONVERT (E) FAMILY ROOM  TO GARAGE.  ALSO INTERIOR REMODEL."
81,15016-10000-10818,"REMODEL ( E ) DUPLEX : CONVERT UNIT # 3306  FROM ONE DEDROOM & ONE BATH TO EFFICIENCY UNIT ; CONVERT UNIT # 3304 FROM ONE BEDROOM & ONE BATH TO TWO BEDROOMS & TWO BATHS .   ADD 39"" X 44"" LAUNDRY CLOSET TO (E) DUPLEX."
82,13014-30000-00578,"REMODEL OF EXIST DUPLEX  TO CONVERT PORTION OF 1ST FLOOR UNIT TO STORAGE AREA, ENLARGE 1ST FLOOR KITCHEN/LIVING RM  AND  PATIO COVER, STORAGE, AND STAIR.  REMODEL 2ND FLOOR UNIT BATHRM, ENTRY WAY AND ADD COVERED ROOF DECK."
83,16016-20000-11281,"CONVERT (E) 20'2"" X 20'1"" GARAGE INTO A (N) REC ROOM, STORAGE AND BATHROOM WITH EXTERIOR ACCESS ONLY FOR THE POOL. (SEE COMMENTS)."
84,16016-70000-08118,"Interior alteration to existing single family dwelling to convert existing family room and recreation room into bedrooms, new bathroom, remodel kitchen, remodel bathroom, new laundry room, change out 19 windows, and new trellis at front per city standard details."
85,14014-30000-04589,"Add master bed/bathroom(17' x 32'6""(Irr)) @ rear.Convert (e) bedroom to closet.Remodel kitchen inc remove wall."
86,14016-70000-15199,"Convert the existing duplex into a single family dwelling. Also, interior work to remodel kitchen, two new bathrooms, reconfigure bedrooms. window change out under permit # 14016-10000-17569 (no exterior work for this permit)."
87,14016-70000-02771,CONVERT (E) DEN INTO MASTER BEDROOM (BATHROOM AND CLOSETS). REMODEL (E) BATHROOM TO CREATE LAUNDRY SPACE AND CLOSET. REMODEL (E) KITCHEN. REPLACE WINDOWS SAME SIZE AND LOCATION.
88,17016-30000-18904,Interior remodel to existing accessory living quater.
89,18019-70000-05667,DEMOLISH DETACHED GARAGE AND UNPERMITED SHED
90,16043-20000-04308,"NEW 13D SYSTEM FOR ACCESSORY LIVING QUARTERS. 2 INCH METER SHARED WITH MAIN HOUSE, NO BACKFLOW"
91,13014-20000-00897,convert  attached covered  patio enclosure   to  enlarge the    dining  room at  existing  sfd.   21.83'  x  8.5' (185  sq  feet)
92,14016-20000-04907,TO REMOVE CLOSET FROM THE FRONT BEDROOM AND TO CONVERT IT TO A DEN. TO REMOVE THE WALL BETWEEN THE DEN AND THE HALLWAY. WORK IS NON STRUCTURAL.
93,17016-20000-03990,"CONVERT THE (E) CLOSET TO 3/4 BATHROOM, REMODEL (1) BATHROOM & KITCHEN AND INSTALL A TANKLESS WATER HEATER AT NORTH SIDE OF DWELLING."
94,17016-20000-08429,"NON STRUCTURAL INTERIOR REMODEL TO CONVERT SECOND FLOOR BEDROOM INTO TWO BEDROOMS, CONVERT 14'-1"" X 8'-3"" PORTION OF KITCHEN INTO LAUNDRY ROOM AND HALF BATHROOM, AND REMOVE AND REPLACE WINDOWS AND DOORS (SAME SIZE AND TYPE)."
95,17016-70000-16339,"CONVERT EXISTING RECREATION ROOM AT THE REAR OF THE HOUSE INTO TWO BEDROOMS.  ALSO, INTERIOR REMODEL TO EXISTING SINGLE FAMILY DWELLING, REMODEL KITCHEN, BEDROOMS AND CREATE A NEW HALLWAY FOR THE TWO NEW BEDROOMS."
96,13016-30000-09761,"Interior alteration / remodel to convert (2) closets to (2) bathrooms full bathrooms on the 1st floor, and (1) closet to (1) half bathroom on the 2nd floor of an existing single family dwelling."
97,16016-20000-18183,REMODEL (E) REC. ROOM IN ACCESSORY LIVING QUATERS TO ADD NEW EXTERIOR SLIDING DOOR. ALL WORK PER ENGINEER.
98,12014-10001-03871,SUPPLEMENTAL PERMIT TO #12014-20000-03871 TO CONVERT PROPOSED SHOWER TO DRESSING ROOM.
99,17014-20000-06097,"CONVERT (E) 16' X 18' ATTIC SPACE OF (E) 2 STORY SFD INTO NEW BEDROOM, NEW BATHROOM  AND NEW CLOSET, NEW SPIRAL STAIRCASE PER LA CITY STANDARD PLAN # 111, NEW GAS OUTDOOR FIREPLACE  . ALL WORK PER ENGINEERING"
100,16014-20000-06229,"CONVERT 5'-11"" X 7' OF PATIO AS PART MASTER BATHROOM; RECONFIGURE FLOOR PLAN ON FIRST FLOOR"
101,13016-20000-06575,"INTERIOR REMODEL TO (E) 1-STORY SFD TO CONVERT (2) BEDROOMS TO (1) MASTER BEDROOM AND A WALK-IN-CLOSET, RELOCATE WINDOWS IN MASTER & MINOR REMODEL TO (E) HALLWAY. ALL WORK PER ENGINEERING."
102,13016-70000-24179,"Interior remodel to existing single family dwelling to convert kitchen into bedroom, convert laundry into bathroom, expand existing bedroom, remodel existing bathroom, change 11 windows (dual glazed low-e), new slider door at rear. Related plumbing, hvac, and electrical."
103,14014-20000-00533,"Add 621 sq ft to include new bedroom/bathroom/laundry.Convert 141 sq ft of (e) dwelling to garage & add 231 sq ft to create19'7"" x 18'10"" attached garage.Add  uncovered deck(10'10"" x 18'9"") @ rear.Remodel throughout."
104,17016-10002-30583,SUPPLEMENTAL TO  PERMIT 17016-10000-30583. ADD KITCHEN FOR ADU. No chang to plot plan.
105,16014-20000-05138,"CONVERT (E) ATTACHED GARAGE TO NEW BEDROOM AND FULL BATHROOM. ATTACH 7'9"" x 24'6""  COVERED PATIO, ATTACH 18' x 18' CARPORT. ALL WORK PER WFPP AND LA CITY STDS."
106,16014-10000-04417,CONVERT PORTION (11' X 21') OF (E) ATTACHED GARAGE TO A LAUNDRY ROOM AND ADD TO SOUTHEAST SIDE OF GARAGE TO RESTORE TO 2-CAR GARAGE.
107,15016-20000-01408,"Exterior and interior remodel of existing SFD.  Convert (e) dining room to (n) recreation room. Convert (e) recreation room to (n) bedroom. Remodel kitchen, (2) bathrooms.  Remove and construct walls. Replace windows, create larger window openings, and fill-in existing windows.  All work per engineering plans."
108,15016-10000-27051,CONVERT REAR ROOM INTO WALK-IN CLOSET INTERIOR REMODEL OF KITCHEN. ADD BATH & SHOWER ADJACENT TO EXISTING BEDROOM IN EXISTING CLOSET AREA & NEW STRUCTURAL BEAMS.
109,17016-20000-21510,"REMODEL THE (E) KITCHEN AND BATHROOM, CONVERT 1/2 BATHROOM TO A FULL BATHROOM, REPLACE (E) WINDOWS WITH SAME SIZE."
110,15014-30000-05202,"Add ground floor bedroom(12'9"" x 16') @ rear.Convert (e) bedroom to bath & closet, remodel (e) kitchen and remove portion of wall between dinning room and kitchen.New HVAC unit & tankless water heater."
111,17016-70000-12638,INTERIOR ALTERATION TO CONVERT SINGLE BATH ROOM INTO 2 BATHROOMS. KITCHEN REMODEL. REVISE KITCHEN WINDOWS. REVISE DOORS BETWEEN BED ROOM NO.1 AND BED ROOM NO. 2.
112,13016-20000-24616,"GENERAL REMODEL, AT STREET LEVEL FLR., CONVERT (E) DEN TO (N) KITCHEN, NOOK, REMOVE 2ND STAIRWAY TO CREATE A NEW PANTRY, CONVERT PART OF THE (E) CLOSET TO CREATE (N) FULL BATH.   AT BELOW FLOOR CONVERT (E) DINING RM. TO (N) PRIVATE WORK-OUT ROOM, CONVERT KITCHEN TO (N) MASTER BATH, &   CONVERT PART OF (E) BEDROOM TO NEW FULL BATH & A CLOSET, & CONVERT MASTER CLOSET & BATHROOM TO NEW MASTER W.I.C. WITHIN (E) 2-STORY SFD W/ATT. 2-CAR GARAGE."
113,15016-20000-14778,"Convert (E) storage space (3'-6"" x10') attached to (E) carport to laundry space - See comments. ""COMPLY WITH DEPARTMENT ORDER effective date 03/12/2015. PERMIT WILL EXPIRE 30 DAYS FROM ISSUANCE DATE""."
114,14014-20001-00156,"CONVERT 2 UNITS INTO ONE SFD, ADD 315 SF TO CONNECT 2- DET.SFD & CONVERT TO SFD ***REVISE FLOOR/ FRAMING PLAN & CHG CONTRACTOR / APPLICANT***"
115,12014-20000-02357,CONVERT EXISTING GARAGE TO RECREATION ROOM WITH HALF BATH AND CONSTRUCT NEW ATTACHED CARPORT PER LA CITY STANDARD AND ATTACHED STORAGE ROOM. COMPLY WITH DEPARTMENT ORDER EFFECTIVE DATE 05/15/2012. PERMIT WILL EXPIRE 30 DAYS FROM ISSUANCE DATE.
116,14016-10000-14207,PROPOSED INTERIOR ALTERATION TO (E) DUPLEX: TO CONVERT STORAGE ROOM TO RESTROOM WITHIN TOP AND BOTTOM UNITS.
117,17014-20001-01485,CONVERT THE EXISTING STORAGE ROOM TO BATHROOM FOR SWIMMING POOL ON SITE.
118,17016-20000-12710,NONSTRUCTURAL INT T.I. - CONVERT EX CLOSET INTO BATHRM W/ SHOWER.
119,17014-10000-02193,Addition of a (N) Accessory Dwelling Unit per AB2299 and SB 1069 to (E) detached garage.
120,18016-20000-37708,"CONVERT THE (E) STORAGE ROOM INTO A (N) MASTER BEDROOM ,CONVERT (E) BED TO MASTER BATH/ CLOSET AND REDUCE SIZE OF (E) MUD ROOM."
121,18016-20000-32202,"Relocate laundry room, remove non-bearing walls and convert (e) 3/4 bthrm into 3/4 and half bthrms. Fill in 2 windows, change door to window and replace window."
122,18016-20000-05414,"CONVERT DEN TO 3/4 BATHROOM,  FILL IN 1 DOOR OPENING, REDUCE WIDTH OF 1 WINDOW AND CHANGE OUT 1 WINDOW TO DOOR (EXISTING HEADER TO REMAIN).  ALL WORKS ARE PER WFPP"
123,15016-10000-09984,PROPOSED INTERIOR REMODEL. CONVERT (E) LAUNDRY ROOM IN A FULL BATHROOM. NO ADDITIONAL SQ. FT.
124,17016-20000-36101,NONSTRUCT INT REMOVEL: CONVERT EX LAUNDRY AREA & CLOSET INTO BATHRM. AND ADD NEW CLOSET WITHIN EX BEDRM. ALL WORK PER WFPP.
125,16016-20000-03202,CONVERT A PORTION OF THE (E) LIVING ROOM INTO A (N) BEDROOM AND BATHROOM. ALL WORK PER WFPP
126,17016-20000-07671,CONVERT DETACHED  RECREATION ROOM (99016-20000-18090) TO  ACCESSORY DWELLING UNIT PER AB 2299 AND SB 1069.
127,17010-10001-00419,SUPPLEMENTAL TO PERMIT # 17010-10000-00419 TO CONVERT (E) DETACHED REC ROOM TO (N) ASSESSORY DWELLING UNIT AND  (1) OPEN PARKING STALL  PER AB 2299 AND SB 1069 .
128,17016-20000-34569,CONVERT (E) LAUNDRY ROOM TO NEW BATHROOM.
129,16016-20000-10540,NON STRUCTURAL INTERIOR REMODEL; CONVERT (E) BEDROOM TO A (N) BATHROOM AND CLOSET.
130,15010-10000-02427,"NEW DETACHED ACCESSORY BUILDING (41' X 26') WITH A BASEMENT (RECREATION ROOM), 3-CAR GARAGE AND AN ACCESSORY LIVING QUARTER."
131,14016-10000-10845,CONVERT 3 BEDROOM SFR TO 4 BEDROOM SFR  ; ALL EXISTING GENERAL REMODEL; INTERIOR REMODEL ONLY - CONVERT LIVING AREA TO BEDROOM
132,14016-20000-10974,"CONVERT 12' x 18'4""(irr)  PORTION OF (E) ATTACHED GARAGE to LAUNDRY ROOM/EXPAND LIVING ROOM."
133,13016-20000-04963,convert existing  2  car  garage to a storage  room (10.33'x 22.25')   and  1  car garage(9' x 22.25').   separate   carport  is  under  12016-20000-24114
134,13014-10000-03031,INTERIOR ALTERATION TO (E) SFD. CONVERT EXISTING GARAGE TO LIVING AREA & ADDITION OF A 2-CAR CARPORT
135,14016-20000-17449,INTERIOR REMODEL TO CONVERT (E) CLOSET & BATHROOM TO (2) FULL BATHROOMS ON 1ST FLOOR OF (E) 2-STORY SFD W/ ATTACHED GARAGE. ALL WORK PER WFPP;
136,12014-10000-00697,2-CAR  GARAGE ADDITION TO EXISTING SFD; CONVERT (E) ATT GARAGE TO LIVING ROOM
137,15016-70000-22987,INTERIOR ALTERATION TO CONVERT THE LIVING ROOM OF  UNIT 3014 1/2 INTO A BED ROOM AND INCORPORATE THAT NEW NEW BED ROOM INTO UNIT 3014. ALSO CONVERT THE  BED ROOM OF UNIT 3014 1/2 INTO A LIVING ROOM. NO CHANGE IN PARKING.
138,14014-20000-03501,"Convert portion of basement sotrage to, a recreation room with a 1/2 bathroom, with ouside entrance; Construct a new full bathroom on 2nd floor of SFD; Revise garage ceiling framing;"
139,18016-20000-15660,"INTERIOR REMODEL, CONVERT THE (E) LAUNDRY AND A PORTION (7'-6'X2'-7"", 19 SQ.FT.) OF THE (E) GARAGE INTO A (N) BATHROOM AND WALK-IN CLOSET FOR (E) BEDROOM. WORK PER WFPP. NO CHANGE TO RFA."
140,13016-10000-15270,INTERIOR REMODEL (142 SF) CONVERTING EXISTING BEDROOM INTO A MASTER BATHROOM AT THE SECOND FLOOR. INTERIOR WORK ONLY.
141,16016-20000-02540,"INTERIOR REMODEL; REMODEL MASTER BEDROOM, CLOSET AND BATHROOM; CONVERT PORTION OF DINING ROOM TO KITCHEN PANTRY; CONVERT PORTION OF DINING ROOM TO EXPAND BATHROOM; KITCHEN REMODEL; REMOVE AND REPLACE DIRECT VENT SEALED FIREPLACE IN LIVING ROOM PER MANUFACTURER'S SPECIFICATIONS"
142,16010-20000-01119,PROPOSE ONE STORY ACCESSORY BUILDING: CONSIST OF TWO CAR GARAGE & POOL BATH WITH EXTERIOR ACCESS.
143,17014-20000-01332,"23' x 21'-4"" ADDITION TO THE (E) GARAGE TO CREATE AN ACCESSORY DWELLING UNIT PER AB 2299 AND SB 1069. ALL WORK PER ENGINEERING."
144,12010-30001-02740,"Supplemaental to permit 12010-30000-02740 to convert first floor roof porton of garage to walking deck, 20'x20'."
145,13016-30000-09964,REPAIR (E) GARAGE FOOTING & CONVERT ROOF FROM FLAT TO GABLE
146,17016-30000-28096,Convert attic to a 2nd floor bedroom.Add spiral stairs(L.A. City Standard Plan # 111).
147,12014-10000-04241,NEW DECK AT THE REAR OF THE PROPERTY.  CONVERT TWO WINDOWS TO TWO DOORS (SAME SIZE WIDTH).
