index,name,bz_score,projects,link
34,Gopro Remodeling Inc.,136,3 Home additions & 5 Bathroom remodels & ,https://www.buildzoom.com/contractor/gopro-remodeling-inc
35,Hightouch Remodeling,135,6 Home additions & 8 Kitchen remodels & ,https://www.buildzoom.com/contractor/hightouch-remodeling
36,Fidelity Builders & Design,135,9 Home additions & 16 Kitchen remodels & ,https://www.buildzoom.com/contractor/fidelity-builders-design
37,Home Upgrade Specialist,134,245 Total projects & ,https://www.buildzoom.com/contractor/home-upgrade-specialist-ca
38,Bedrock Remodeling & Building Inc,134,21 Home additions & 27 Bathroom remodels & ,https://www.buildzoom.com/contractor/bedrock-remodeling-building-inc
39,A Plus Design & Remodeling,134,22 Kitchen remodels & 7 Bathroom remodels & ,https://www.buildzoom.com/contractor/a-plus-design-remodeling
40,Smart Construction Consultants Inc,133,9 Kitchen remodels & 37 Other projects & ,https://www.buildzoom.com/contractor/smart-construction-consultants-inc
41,Trig Builders,133,3 New constructions & 5 Kitchen remodels & ,https://www.buildzoom.com/contractor/trig-builders
42,Rocka Builders Inc,132,25 Total projects & ,https://www.buildzoom.com/contractor/rocka-builders-inc
43,ARP Contractor Corp,132,24 Home additions & 42 Kitchen remodels & ,https://www.buildzoom.com/contractor/arp-contractor-corp
44,Quality First Builders Inc,132,37 Kitchen remodels & 13 Bathroom remodels & ,https://www.buildzoom.com/contractor/quality-first-builders-inc
45,Precise Remodeling & Design,131,3 Kitchen remodels & 15 Other projects & ,https://www.buildzoom.com/contractor/precise-remodeling-design
46,Green Renovation Group,131,10 Total projects & ,https://www.buildzoom.com/contractor/green-renovation-group
47,Concept Renovations Inc,131,8 Home additions & 30 Kitchen remodels & ,https://www.buildzoom.com/contractor/concept-renovations-inc
48,Ca restoration and Construction,130,10 Kitchen remodels & 85 Other projects & ,https://www.buildzoom.com/contractor/ca-restoration-and-construction
49,Construction Owl Dba Gh Builders,130,6 New constructions & 80 Kitchen remodels & ,https://www.buildzoom.com/contractor/construction-owl-dba-gh-builders
50,Premium Remodeling Inc,129,3 Home additions & 77 Kitchen remodels & ,https://www.buildzoom.com/contractor/premium-remodeling-inc-encino
51,Rembuild Construction,129,,https://www.buildzoom.com/contractor/rembuild-construction-ca
52,Amerbuild Construction & Remodeling,129,5 Home additions & 10 Kitchen remodels & ,https://www.buildzoom.com/contractor/amerbuild-construction-remodeling
53,Rex Contractors Inc,129,7 Kitchen remodels & 104 Other projects & ,https://www.buildzoom.com/contractor/rex-contractors-inc
54,Green Air Solutions Inc,129,265 Total projects & ,https://www.buildzoom.com/contractor/green-air-solutions-inc
55,at Your Service Construction,128,59 Total projects & ,https://www.buildzoom.com/contractor/at-your-service-construction-los-angeles-ca
56,Kg Construction & Solutions Usa Inc,128,6 Kitchen remodels & 175 Other projects & ,https://www.buildzoom.com/contractor/kg-construction-solutions-usa-inc
57,Adar Builders,128,4 New constructions & 3 Kitchen remodels & ,https://www.buildzoom.com/contractor/adar-builders
58,South Land Remodeling Inc,128,16 Home additions & 49 Kitchen remodels & ,https://www.buildzoom.com/contractor/south-land-remodeling-inc
59,B&R Construction,128,14 New constructions & 60 Kitchen remodels & ,https://www.buildzoom.com/contractor/b-r-construction-ca
60,"My Construction Group, Inc. - South",128,4 Home additions & 15 Kitchen remodels & ,https://www.buildzoom.com/contractor/my-construction-group-inc-south
61,SOD Home Group,128,3 Kitchen remodels & 45 Other projects & ,https://www.buildzoom.com/contractor/sod-home-group
62,Ecostar Remodeling and Construction,127,3 Home additions & 33 Kitchen remodels & ,https://www.buildzoom.com/contractor/ecostar-remodeling-and-construction
63,Vision Home Remodeling Inc,127,15 Total projects & ,https://www.buildzoom.com/contractor/vision-home-remodeling-inc
64,Construction District Inc,127,60 Total projects & ,https://www.buildzoom.com/contractor/construction-district-inc-ca
65,Doobek Addition Contractors and Remodeling,127,21 Home additions & 6 Bathroom remodels & ,https://www.buildzoom.com/contractor/doobek-inc
66,Karma Remodeling & Development,127,7 Home additions & 28 Kitchen remodels & ,https://www.buildzoom.com/contractor/karma-remodeling-development
67,Cielo Construction Company,127,20 Home additions & 49 Kitchen remodels & ,https://www.buildzoom.com/contractor/cielo-construction-company
68,American Builder Construction Company,127,7 Kitchen remodels & 3 Bathroom remodels & ,https://www.buildzoom.com/contractor/american-builder-construction-company
69,Green Calstate Construction Inc,137,21 Total projects & ,https://www.buildzoom.com/contractor/green-calstate-construction-inc
70,H&F Gomez Construction Inc,126,10 Kitchen remodels & 186 Other projects & ,https://www.buildzoom.com/contractor/h-f-gomez-construction-inc
71,RAA Construction Group,126,28 Total projects & ,https://www.buildzoom.com/contractor/raa-construction-group
72,LA Xtreme Remodeling,126,8 Bathroom remodels & 7 Kitchen remodels & ,https://www.buildzoom.com/contractor/la-xtreme-remodeling
73,United Express Construction Inc.,125,3 Home additions & 122 Other projects & ,https://www.buildzoom.com/contractor/united-express-construction-inc
74,E.Z. Energy Solutions,125,30 Total projects & ,https://www.buildzoom.com/contractor/e-z-energy-solutions
75,Sds Empire Construction Inc,125,7 New constructions & 255 Other projects & ,https://www.buildzoom.com/contractor/sds-empire-construction-inc
76,Platinum Home Designers,135,15 Total projects & ,https://www.buildzoom.com/contractor/platinum-home-designers
77,Treeium Energy Inc,124,4 Home additions & 4 Kitchen remodels & ,https://www.buildzoom.com/contractor/treeium-energy-inc
78,Hillstar Construction,124,27 Total projects & ,https://www.buildzoom.com/contractor/hillstar-construction
79,California Green Builders Inc,124,8 Kitchen remodels & 91 Other projects & ,https://www.buildzoom.com/contractor/california-green-builders-inc-ca
80,Butel Construction inc,124,21 Home additions & 19 Kitchen remodels & ,https://www.buildzoom.com/contractor/butel-construction-inc
81,509 Construction,124,5 Home additions & 9 Kitchen remodels & ,https://www.buildzoom.com/contractor/509-construction-ca
82,La Rocca Builders Inc,124,13 New constructions & 113 Other projects & ,https://www.buildzoom.com/contractor/la-rocca-builders-inc
83,Eagle Remodeling Inc,124,7 Kitchen remodels & 24 Other projects & ,https://www.buildzoom.com/contractor/eagle-remodeling-inc
84,Eco Design Pro,123,9 Kitchen remodels & 6 Bathroom remodels & ,https://www.buildzoom.com/contractor/eco-design-pro
85,Jaime Partners,123,11 New constructions & 13 Kitchen remodels & ,https://www.buildzoom.com/contractor/jaime-partners
86,Diamond Builders,123,202 Total projects & ,https://www.buildzoom.com/contractor/diamond-builders-ca
87,Snow Construction Los Angeles,123,5 Home additions & 9 Kitchen remodels & ,https://www.buildzoom.com/contractor/snow-construction-los-angeles
88,Azure Construction,123,,https://www.buildzoom.com/contractor/azure-construction-2
89,Coram Design Center Inc,123,13 Kitchen remodels & 3 Bathroom remodels & ,https://www.buildzoom.com/contractor/coram-design-center-inc
90,Primary Construction & Development Inc,123,4 Kitchen remodels & 9 Other projects & ,https://www.buildzoom.com/contractor/primary-construction-development-inc
91,Sky Home Builders,123,4 Home additions & 20 Kitchen remodels & ,https://www.buildzoom.com/contractor/sky-home-builders
92,BMR Enterprises,123,30 New constructions & 16 Garage constructions & ,https://www.buildzoom.com/contractor/bmr-enterprises
93,Precise Home Builders,123,14 Home additions & 15 Kitchen remodels & ,https://www.buildzoom.com/contractor/precise-home-builders
94,Remodelit LA,123,3 Home additions & 11 Kitchen remodels & ,https://www.buildzoom.com/contractor/remodelit-la-los-angeles-ca
95,All American Builders,122,11 Total projects & ,https://www.buildzoom.com/contractor/all-american-builders
96,Groesbeck Construction,122,7 Kitchen remodels & 158 Other projects & ,https://www.buildzoom.com/contractor/groesbeck-construction-ca
97,Lattanzi Construction Incorporated,122,15 New constructions & 3 Garage constructions & ,https://www.buildzoom.com/contractor/lattanzi-construction-incorporated
98,So Cal Builders and Design Inc,122,8 Home additions & 13 Kitchen remodels & ,https://www.buildzoom.com/contractor/so-cal-builders-and-design-inc
99,NORMAN ORDONEZ,122,33 Total projects & ,https://www.buildzoom.com/contractor/norman-ordonez
100,Neo Builders Inc,122,5 Total projects & ,https://www.buildzoom.com/contractor/neo-builders-inc
101,Tolteco Construction Services Inc,122,5 Total projects & ,https://www.buildzoom.com/contractor/tolteco-construction-services-inc
102,Shangri-la Construction,122,7 Home additions & 19 Kitchen remodels & ,https://www.buildzoom.com/contractor/shangri-la-construction
103,Eurocon Group Inc,122,17 Home additions & 17 Kitchen remodels & ,https://www.buildzoom.com/contractor/eurocon-group-inc
104,Karen Galust Gemilyan DBA Advanced Construction,122,90 New constructions & 18 Garage constructions & ,https://www.buildzoom.com/contractor/karen-galust-gemilyan-dba-advanced-construction
105,Roger Perron Design and Construction,121,6 Home additions & 12 Kitchen remodels & ,https://www.buildzoom.com/contractor/roger-perron-design-and-construction
106,Bela Remodeling,121,5 Kitchen remodels & 14 Other projects & ,https://www.buildzoom.com/contractor/bela-remodeling
107,America Green Builders,121,9 Total projects & ,https://www.buildzoom.com/contractor/america-green-builders
108,Itm Construction Inc,121,6 Home additions & 12 Kitchen remodels & ,https://www.buildzoom.com/contractor/itm-construction-inc-winnetka-ca
109,Flat Rate Remodeling Inc,121,26 Kitchen remodels & 4 Bathroom remodels & ,https://www.buildzoom.com/contractor/flat-rate-remodeling-inc-ca
110,IB Construction,121,5 New constructions & 50 Kitchen remodels & ,https://www.buildzoom.com/contractor/ib-construction-ca
111,Gl Pro Remodeling Inc,121,3 Kitchen remodels & 8 Other projects & ,https://www.buildzoom.com/contractor/gl-pro-remodeling-inc
112,Top Value Construction,121,32 Total projects & ,https://www.buildzoom.com/contractor/top-value-construction-ca
113,RCR Construction,121,12 New constructions & 206 Other projects & ,https://www.buildzoom.com/contractor/rcr-construction-ca
114,Pacific Southern Development Inc,121,98 Total projects & ,https://www.buildzoom.com/contractor/pacific-southern-development-inc
115,Clune Construction,121,52 Home additions & 15 Kitchen remodels & ,https://www.buildzoom.com/contractor/clune-construction-ca
116,American Retrofitters,120,,https://www.buildzoom.com/contractor/american-retrofitters
117,Topaz Remodeling Inc,120,6 Home additions & 24 Other projects & ,https://www.buildzoom.com/contractor/topaz-remodeling-inc
118,Decker Construction and Development,120,3 Kitchen remodels & 37 Other projects & ,https://www.buildzoom.com/contractor/decker-construction-and-development
119,CLC Builders Inc,120,13 New constructions & 93 Other projects & ,https://www.buildzoom.com/contractor/clc-builders-inc-2
120,Precision Design and Build Inc,120,18 Total projects & ,https://www.buildzoom.com/contractor/precision-design-and-build-inc
121,LA Home Contractor,120,3 Home additions & 5 Kitchen remodels & ,https://www.buildzoom.com/contractor/l-a-home-contractor
122,the Home Remodeling Agency,120,,https://www.buildzoom.com/contractor/the-home-remodeling-agency
123,Build4u Construction & Design,120,5 Kitchen remodels & 42 Other projects & ,https://www.buildzoom.com/contractor/build4u-construction-design
124,DLD Consulting & Construction,120,7 Kitchen remodels & 5 Garage constructions & ,https://www.buildzoom.com/contractor/dld-consulting-construction
125,Art & More Construction Inc,120,6 Home additions & 14 Kitchen remodels & ,https://www.buildzoom.com/contractor/art-more-construction-inc
126,AAA All Star Construction Inc,120,18 Home additions & 15 Kitchen remodels & ,https://www.buildzoom.com/contractor/aaa-all-star-construction-inc
127,Eco Planet Builders Inc,120,32 Total projects & ,https://www.buildzoom.com/contractor/eco-planet-builders-inc
128,Ab Designs & Remodeling Consulting Inc,119,10 Bathroom remodels & 8 Kitchen remodels & ,https://www.buildzoom.com/contractor/ab-designs-remodeling-consulting-inc
129,SOS Enterprises Inc,119,10 Kitchen remodels & 6 Bathroom remodels & ,https://www.buildzoom.com/contractor/sos-enterprises-inc-ca
130,T J Construction Inc,119,17 Home additions & 26 Kitchen remodels & ,https://www.buildzoom.com/contractor/t-j-construction-inc
131,Sb Construction & Remodeling Inc,119,5 Total projects & ,https://www.buildzoom.com/contractor/sb-construction-remodeling-inc-ca
132,White Knight Home Services,119,3 Kitchen remodels & 10 Other projects & ,https://www.buildzoom.com/contractor/white-knight-home-services-2
133,Kitchen Remodeler - LA,-1,66 Total projects & ,https://www.buildzoom.com/contractor/kitchen-remodeler-la
134,Stern Mosey Design Build,119,10 Home additions & 6 Kitchen remodels & ,https://www.buildzoom.com/contractor/stern-mosey-design-build
135,Deluxe Vanity & Kitchen,119,15 Total projects & ,https://www.buildzoom.com/contractor/deluxe-vanity-kitchen
136,Ccforteza and Assoc,119,6 Home additions & 11 Other projects & ,https://www.buildzoom.com/contractor/ccforteza-and-assoc
137,Level Up Contractor Inc,119,7 Total projects & ,https://www.buildzoom.com/contractor/level-up-contractor-inc-ca
138,WYD Design House Inc,119,3 Home additions & 3 Kitchen remodels & ,https://www.buildzoom.com/contractor/wyd-design-house-inc
139,Ramland Development,119,7 Home additions & 4 Kitchen remodels & ,https://www.buildzoom.com/contractor/ramland-development
140,Arka Construction Inc,118,5 New constructions & 157 Other projects & ,https://www.buildzoom.com/contractor/arka-construction-inc
141,California Remodeling Inc,118,3 Kitchen remodels & 15 Other projects & ,https://www.buildzoom.com/contractor/california-remodeling-inc
142,Eclipse Remodeling Inc,118,3 Garage constructions & 97 Other projects & ,https://www.buildzoom.com/contractor/eclipse-remodeling-inc
143,Houck Construction Inc,118,7 Home additions & 5 Kitchen remodels & ,https://www.buildzoom.com/contractor/houck-construction-inc
144,Professional Builders & Remodeling Inc,118,4 Home additions & 5 Kitchen remodels & ,https://www.buildzoom.com/contractor/professional-builders-remodeling-inc
145,Green Tech Remodeling & Design Inc,118,10 Total projects & ,https://www.buildzoom.com/contractor/green-tech-remodeling-design-inc
146,"Am Acoustics, Inc.",118,9 Kitchen remodels & 43 Other projects & ,https://www.buildzoom.com/contractor/am-acoustics-inc
147,DC Keeton Home Improvements,118,79 Total projects & ,https://www.buildzoom.com/contractor/d-c-keeton-home-improvements
148,Believe Design + Build,118,4 Home additions & ,https://www.buildzoom.com/contractor/believe-design-build
149,Omega Structural Inc,118,94 Total projects & ,https://www.buildzoom.com/contractor/omega-structural-inc
150,Argueta Construction,117,4 Home additions & 8 Kitchen remodels & ,https://www.buildzoom.com/contractor/argueta-construction
151,MJ Home Development,117,,https://www.buildzoom.com/contractor/mj-home-development
152,Blueprint Builders,117,83 Total projects & ,https://www.buildzoom.com/contractor/blueprint-builders-ca
153,Renovatio Custom Build,117,9 Home additions & 5 Kitchen remodels & ,https://www.buildzoom.com/contractor/renovatio-custom-build
154,West Builders,117,7 New constructions & 623 Other projects & ,https://www.buildzoom.com/contractor/west-builders-ca
155,Tyler Development Corporation,117,39 New constructions & 4 Garage constructions & ,https://www.buildzoom.com/contractor/tyler-development-corporation
156,Rincon Builders Inc,117,15 Total projects & ,https://www.buildzoom.com/contractor/rincon-builders-inc
157,Asap New Renovations Inc,117,13 Total projects & ,https://www.buildzoom.com/contractor/asap-new-renovations-inc
158,Best Builders Group,117,7 Kitchen remodels & 4 Bathroom remodels & ,https://www.buildzoom.com/contractor/best-builders-group
159,Reliance Design Build,117,4 Home additions & 3 Kitchen remodels & ,https://www.buildzoom.com/contractor/reliance-design-build
160,Precise Home Builders,117,15 Total projects & ,https://www.buildzoom.com/contractor/precise-home-builders-ca
161,Abraham Building & Consulting Inc,116,4 Total projects & ,https://www.buildzoom.com/contractor/abraham-building-consulting-inc-ca
162,Lush Remodeling & Development Inc,116,22 Total projects & ,https://www.buildzoom.com/contractor/lush-remodeling-development-inc
163,Ecs Builders Group Inc,116,3 Kitchen remodels & 36 Other projects & ,https://www.buildzoom.com/contractor/ecs-builders-group-inc
164,SN Design Remodeling Inc,116,13 Total projects & ,https://www.buildzoom.com/contractor/s-n-design-remodeling-inc
165,an Construction & Remodeling Inc,116,6 Kitchen remodels & 62 Other projects & ,https://www.buildzoom.com/contractor/an-construction-remodeling-inc
166,Evolved Contracting Co,116,,https://www.buildzoom.com/contractor/evolved-contracting-co
167,Houses JL General Contractors Inc,116,33 Total projects & ,https://www.buildzoom.com/contractor/houses-jl-general-contractors-inc
168,Skyson Construction Corp,116,7 New constructions & 50 Other projects & ,https://www.buildzoom.com/contractor/skyson-construction-corp
169,Onyx Development,115,,https://www.buildzoom.com/contractor/onyx-development
170,Sky Line Developing & Construction Inc,115,11 Total projects & ,https://www.buildzoom.com/contractor/sky-line-developing-construction-inc
171,Popular Bathroom,115,3 Bathroom remodels & 6 Other projects & ,https://www.buildzoom.com/contractor/popular-bathroom
172,Home Foundations Construction & Remodeling Inc,115,3 Bathroom remodels & 85 Other projects & ,https://www.buildzoom.com/contractor/home-foundations-construction-remodeling-inc
173,Nrg Upgrade,115,39 Total projects & ,https://www.buildzoom.com/contractor/nrg-upgrade
174,Home Improvement & General Construction Co,115,53 Kitchen remodels & 139 Other projects & ,https://www.buildzoom.com/contractor/home-improvement-general-construction-co
175,Robert M Pagan Construction Company,115,29 Home additions & 5 Bathroom remodels & ,https://www.buildzoom.com/contractor/robert-m-pagan-construction-company
176,Dreyfuss Construction,115,5 New constructions & 827 Other projects & ,https://www.buildzoom.com/contractor/j-dreyfuss-associates-inc-dba-dreyfuss-construction
177,Jb Design and Construction,115,5 New constructions & 84 Other projects & ,https://www.buildzoom.com/contractor/jb-design-and-construction
178,Resonne Building & Design,114,3 New constructions & 6 Kitchen remodels & ,https://www.buildzoom.com/contractor/resonne-building-design
179,Landmark Building Inc,114,8 Home additions & 11 Kitchen remodels & ,https://www.buildzoom.com/contractor/landmark-building-inc-los-angeles
180,Luxe Finishes Inc,114,7 Home additions & 87 Other projects & ,https://www.buildzoom.com/contractor/luxe-finishes-inc
181,Dwell LLC,114,3 Total projects & ,https://www.buildzoom.com/contractor/dwell-llc-ca
182,Restaurant Renovations,114,9 Total projects & ,https://www.buildzoom.com/contractor/restaurant-renovations
183,Image Home Design Inc,114,7 Home additions & 5 Kitchen remodels & ,https://www.buildzoom.com/contractor/image-home-design-inc
184,"Oracle Construction, Inc",114,3 Kitchen remodels & 139 Other projects & ,https://www.buildzoom.com/contractor/oracle-construction-inc-ca
185,Dave Binder General Contractor,113,5 Kitchen remodels & 3 Bathroom remodels & ,https://www.buildzoom.com/contractor/dave-binder-general-contractor
186,"Superb Builders, Inc",113,12 Kitchen remodels & 6 Bathroom remodels & ,https://www.buildzoom.com/contractor/superb-builders-inc-studio-city-ca
187,Zade Construction,113,7 Total projects & ,https://www.buildzoom.com/contractor/zade-construction
188,Modative Build Inc,113,36 New constructions & 235 Other projects & ,https://www.buildzoom.com/contractor/modative-build-inc
189,Eberia Construction Company,113,4 Home additions & 4 Kitchen remodels & ,https://www.buildzoom.com/contractor/eberia-construction-company
190,Eden Development & Consulting,113,7 New constructions & 13 Kitchen remodels & ,https://www.buildzoom.com/contractor/eden-development-consulting
191,"Oasis Builders, Inc",113,3 Total projects & ,https://www.buildzoom.com/contractor/oasis-builders-inc-ca
192,Lio James Construction Inc,113,,https://www.buildzoom.com/contractor/lio-james-construction-inc
193,Nobu Home Remodeling Inc,113,3 Total projects & ,https://www.buildzoom.com/contractor/nobu-home-remodeling-inc
194,Mox Construction Inc,112,111 Total projects & ,https://www.buildzoom.com/contractor/mox-construction-inc
195,Francisco Painting & General Construction Company,112,4 Kitchen remodels & 138 Other projects & ,https://www.buildzoom.com/contractor/francisco-painting-general-construction-company
196,I Team Builders & Design,112,6 Total projects & ,https://www.buildzoom.com/contractor/i-team-builders-design
197,Studio Ruben Coronado Builders,112,11 Kitchen remodels & 4 Bathroom remodels & ,https://www.buildzoom.com/contractor/studio-ruben-coronado-builders
198,INTERNATIONAL MAC CONSTRUCTION INC,112,69 Total projects & ,https://www.buildzoom.com/contractor/international-mac-construction-inc
199,Y.S. Remodeling & Design,112,3 Kitchen remodels & 21 Other projects & ,https://www.buildzoom.com/contractor/y-s-remodeling-design
200,Miller and Sons Construction,112,98 Total projects & ,https://www.buildzoom.com/contractor/miller-and-sons-construction-ca
201,AAZ Construction,112,14 Total projects & ,https://www.buildzoom.com/contractor/aaz-construction
202,Y.S. Remodeling & Design,112,3 Kitchen remodels & 21 Other projects & ,https://www.buildzoom.com/contractor/y-s-remodeling-design
203,Cal Green Construction,111,10 Total projects & ,https://www.buildzoom.com/contractor/cal-green-construction-2
204,Oshan Construction,111,3 Kitchen remodels & 40 Other projects & ,https://www.buildzoom.com/contractor/oshan-construction
205,Nrg Heating and Air Conditioning Inc,111,41 Total projects & ,https://www.buildzoom.com/contractor/nrg-heating-and-air-conditioning-inc
206,Home Smart Remodeling Inc,111,4 Kitchen remodels & 75 Other projects & ,https://www.buildzoom.com/contractor/home-smart-remodeling-inc
207,T Man Construction,110,100 Total projects & ,https://www.buildzoom.com/contractor/t-man-construction
208,Aldan Construction & Remodeling Inc,110,14 Total projects & ,https://www.buildzoom.com/contractor/aldan-construction-remodeling-inc
209,Diamond Solar Inc,110,5 Total projects & ,https://www.buildzoom.com/contractor/diamond-solar-inc
210,Homescapes Design and Construction Inc,110,,https://www.buildzoom.com/contractor/homescapes-design-and-construction-inc
211,Clean Energy Retrofit Inc,110,,https://www.buildzoom.com/contractor/clean-energy-retrofit-inc
212,Vision Dc,110,7 Home additions & 14 Kitchen remodels & ,https://www.buildzoom.com/contractor/vision-dc
213,Historical Gypsum Inc,110,39 Total projects & ,https://www.buildzoom.com/contractor/historical-gypsum-inc
214,A to Z Construction & Beyond Inc,110,5 Kitchen remodels & 83 Other projects & ,https://www.buildzoom.com/contractor/a-to-z-construction-beyond-inc
215,"Bhp Commercial Services, Inc",110,,https://www.buildzoom.com/contractor/bhp-commercial-services-inc
216,Ccs Inc,110,,https://www.buildzoom.com/contractor/ccs-inc-ca
217,Sterling Builders Group Inc,110,35 Home additions & 203 Kitchen remodels & ,https://www.buildzoom.com/contractor/sterling-builders-group-inc
218,Tom Builder,110,9 Total projects & ,https://www.buildzoom.com/contractor/tom-builder
219,Vz Construction Company,109,,https://www.buildzoom.com/contractor/vz-construction-company
220,"Sewer and Pipeline Contractor, Inc",109,276 Total projects & ,https://www.buildzoom.com/contractor/sewer-and-pipeline-contractor-inc
221,Designs by Marchello Inc,109,78 Total projects & ,https://www.buildzoom.com/contractor/designs-by-marchello-inc
222,My Design Guide Inc,108,,https://www.buildzoom.com/contractor/my-design-guide-inc
223,HD Construction Company,108,3 New constructions & 60 Other projects & ,https://www.buildzoom.com/contractor/h-d-construction-company
224,All Seasons Construction,108,8 Home additions & 513 Other projects & ,https://www.buildzoom.com/contractor/a-s-c-berkeley-inc-dba-all-seasons-construction
225,Vidal Design Collaborative,108,,https://www.buildzoom.com/contractor/vidal-design-collaborative
226,Lanza Construction Co,108,4 Home additions & 69 Other projects & ,https://www.buildzoom.com/contractor/lanza-construction-co
227,Solidworks Remodeling,108,,https://www.buildzoom.com/contractor/solidworks-remodeling
228,McNoon Group Inc,108,3 Kitchen remodels & 102 Other projects & ,https://www.buildzoom.com/contractor/mcnoon-group-inc
229,Fratantoni Luxury Estates LLC,-1,,https://www.buildzoom.com/contractor/fratantoni-luxury-estates-llc-2
230,California Kitchen Gallery,107,38 Total projects & ,https://www.buildzoom.com/contractor/california-kitchen-gallery
231,Ronovations.LA,107,9 Total projects & ,https://www.buildzoom.com/contractor/ronovations-la
232,Energ Contractor,107,,https://www.buildzoom.com/contractor/energ-contractor
233,Oakley Construction Inc,107,34 Total projects & ,https://www.buildzoom.com/contractor/oakley-construction-inc
234,Tekne Construction Company Inc,107,3 New constructions & 205 Other projects & ,https://www.buildzoom.com/contractor/tekne-construction-company-inc
235,La Green Development,107,,https://www.buildzoom.com/contractor/la-green-development
236,Misong Corporation,120,3 New constructions & 3 Garage constructions & ,https://www.buildzoom.com/contractor/misong-corporation
237,"Best Guy Development, Inc",106,3 Bathroom remodels & 117 Other projects & ,https://www.buildzoom.com/contractor/best-guy-development-inc
238,Imperial Remodeling Inc,106,,https://www.buildzoom.com/contractor/imperial-remodeling-inc
