,License #,Status,Insurer,Insured up to,Bonded Agent,Bonded Value,Workers Comp Value,Workers Comp,numb_permits,numb_revs,rate,2020,2019,2018,2017,2016,Home Additions,New Constructions,Kitchen remodels,Garage Constructions,< $5k,$5k-$20k,$20k-$50k,$50k-$100k,$100k-$250k,$250k-$500k,$500k-$1mil
67,1058246,Active,,,Western Surety Company,,,,,0,-1.0,2 projects,2 projects,,,,,,,,,1 project,,1 project,,,
68,1008214,Active,,,Western Surety Company,,,,52,0,-1.0,8 projects,8 projects,19 projects,7 projects,,,,13 projects,,1 project,6 projects,5 projects,,,,
69,1036604,Active,,,Suretec Indemnity Company,,,,15,0,-1.0,5 projects,7 projects,3 projects,,,,,4 projects,,2 projects,,1 project,,4 projects,,
70,1023447,Active,,,Business Alliance Insurance Company,,,,67,0,-1.0,12 projects,16 projects,25 projects,14 projects,,4 projects,,20 projects,,3 projects,12 projects,5 projects,1 project,1 project,1 project,
71,901546,Active,,,American Contractors Indemnity Company,,,,583,1,5.0,34 projects,38 projects,74 projects,70 projects,,,30 projects,,,63 projects,30 projects,9 projects,,10 projects,16 projects,1 project
72,515469,Active,,,American Contractors Indemnity Company,,,,407,0,-1.0,15 projects,25 projects,40 projects,29 projects,,14 projects,,15 projects,,11 projects,26 projects,12 projects,4 projects,4 projects,1 project,
73,857148,Active,,,Wesco Insurance Company,,,,141,0,-1.0,1 project,19 projects,4 projects,9 projects,,3 projects,,11 projects,,4 projects,9 projects,3 projects,2 projects,,,
74,1030646,Active,,,American Contractors Indemnity Company,,,,11,5,5.0,2 projects,4 projects,2 projects,1 project,,,,,,2 projects,2 projects,,,,,
75,912621,Active,,,Wesco Insurance Company,,,,164,0,-1.0,14 projects,7 projects,4 projects,2 projects,,,,7 projects,,1 project,,,3 projects,2 projects,,
76,786592,Active,,,American Contractors Indemnity Company,,,,300,1,5.0,18 projects,18 projects,11 projects,31 projects,,3 projects,15 projects,,,16 projects,6 projects,7 projects,1 project,2 projects,,4 projects
77,990258,Active,Am Trust international Underwrites DAC,"$3,000,000",American Contractors Indemnity Company,,,,122,0,-1.0,7 projects,21 projects,27 projects,22 projects,,8 projects,,13 projects,,10 projects,21 projects,7 projects,2 projects,3 projects,,
78,945316,Active,,,American Contractors Indemnity Company,,,,33,6,5.0,1 project,7 projects,11 projects,6 projects,,,,,,5 projects,,1 project,2 projects,1 project,,
79,1061134,Active,,,American Contractors Indemnity Company,,,,,0,-1.0,5 projects,,,,,,,,,1 project,1 project,,,,,
