,License #,Status,Insurer,Insured up to,Bonded Agent,Bonded Value,Workers Comp Value,Workers Comp,numb_permits,numb_revs,rate,2020,2019,2018,2017,2016,Home Additions,New Constructions,Kitchen remodels,Garage Constructions,< $5k,$5k-$20k,$20k-$50k,$50k-$100k,$100k-$250k,$250k-$500k,$500k-$1mil
15,834683,Active,,,Western Surety Company,,,,16,1,5.0,,7 projects,3 projects,3 projects,,6 projects,,,,,,1 project,,1 project,4 projects,
16,1053375,Active,Benveniste & Francke Insurance Services,"$2,000,000",Old Republic Surety Company,,,,7,6,5.0,,7 projects,,,,,,,,1 project,,,,,,
17,906540,Active,,,American Contractors Indemnity Company,,,,347,0,-1.0,,37 projects,64 projects,27 projects,,3 projects,,3 projects,,14 projects,9 projects,9 projects,1 project,5 projects,,
18,761179,Active,,,Suretec Indemnity Company,,,,685,0,-1.0,5 projects,16 projects,58 projects,48 projects,,7 projects,,4 projects,,11 projects,7 projects,4 projects,7 projects,14 projects,13 projects,3 projects
19,824921,Active,,,American Contractors Indemnity Company,,,,161,0,-1.0,1 project,17 projects,19 projects,20 projects,,,5 projects,,,8 projects,1 project,2 projects,,2 projects,3 projects,3 projects
20,938008,Active,Hiscox Insurance Company,"$2,000,000",Hudson Insurance Company,,,,21,0,-1.0,6 projects,4 projects,,2 projects,,,,3 projects,,2 projects,1 project,,,,,
21,888710,Active,,,American Contractors Indemnity Company,,,,103,1,5.0,7 projects,42 projects,26 projects,3 projects,,,,,,15 projects,31 projects,2 projects,,,,
22,768547,Active,,,Suretec Indemnity Company,,,,455,0,-1.0,4 projects,20 projects,20 projects,8 projects,,7 projects,,5 projects,,2 projects,6 projects,10 projects,1 project,,1 project,
23,800769,Active,,,Suretec Indemnity Company,,,,167,0,-1.0,6 projects,23 projects,7 projects,7 projects,,4 projects,,5 projects,,8 projects,15 projects,3 projects,,1 project,,
24,1055131,Active,Acord,,Accredited Surety & Casualty Company Inc,,,,10,2,5.0,5 projects,5 projects,,,,,,,,1 project,1 project,2 projects,1 project,,,
25,756269,Active,,,Wesco Insurance Company,,,,49,0,-1.0,1 project,18 projects,,3 projects,,,,9 projects,,2 projects,9 projects,3 projects,,,,
26,715043,Active,,,Western Surety Company,,,,79,0,-1.0,,3 projects,15 projects,3 projects,,,,,,1 project,2 projects,,1 project,1 project,,
27,1051416,Active,,,Western Surety Company,,,,6,1,5.0,,4 projects,1 project,1 project,,4 projects,,,,,1 project,1 project,1 project,,2 projects,
28,998075,Active,,,American Contractors Indemnity Company,,,,93,0,-1.0,15 projects,20 projects,16 projects,14 projects,,,,,,23 projects,10 projects,8 projects,4 projects,,,
29,707159,Active,,,Hudson Insurance Company,,,,335,0,-1.0,5 projects,6 projects,27 projects,26 projects,,4 projects,,8 projects,,17 projects,3 projects,2 projects,,,,
30,1032329,Active,,,Wesco Insurance Company,,,,,3,5.0,,,,,,,,,,,,,,,,
31,841284,Active,,,State National Insurance Company Inc,,,,83,1,5.0,8 projects,5 projects,,7 projects,,,,,,2 projects,2 projects,1 project,,,,
32,990821,Active,,,Wesco Insurance Company,,,,66,0,-1.0,,12 projects,10 projects,18 projects,,9 projects,,5 projects,,12 projects,8 projects,3 projects,3 projects,3 projects,1 project,
33,879468,Active,,,Wesco Insurance Company,,,,628,0,-1.0,4 projects,7 projects,15 projects,19 projects,,,7 projects,,,4 projects,3 projects,1 project,3 projects,4 projects,1 project,1 project
34,451882,Active,,,Developers Surety & Indemnity Company,,,,1.3K,0,-1.0,19 projects,59 projects,145 projects,124 projects,,24 projects,39 projects,,,85 projects,32 projects,27 projects,18 projects,13 projects,5 projects,2 projects
35,988687,Active,AIX specialty insurance company,"$1,000,000",Suretec Indemnity Company,,,,15,0,-1.0,,2 projects,1 project,,,,,,,,1 project,1 project,,,,
36,1018950,Active,,,Wesco Insurance Company,,,,13,0,-1.0,5 projects,5 projects,3 projects,,,,,,,,5 projects,3 projects,,,,
37,768777,Active,,,Wesco Insurance Company,,,,73,0,-1.0,1 project,,7 projects,14 projects,,,,7 projects,,2 projects,13 projects,4 projects,,,,
38,1000372,Active,,,American Contractors Indemnity Company,,,,49,0,-1.0,3 projects,3 projects,11 projects,21 projects,,4 projects,3 projects,3 projects,,6 projects,7 projects,6 projects,1 project,2 projects,,
39,515469,Active,,,AMERICAN CONTRACTORS INDEMNITY COMPANY,,,,12,0,-1.0,3 projects,8 projects,,,,,,,,,1 project,1 project,,,,
40,1046696,Active,,,Accredited Surety & Casualty Company Inc,,,,,0,-1.0,1 project,3 projects,,,,,,,,1 project,2 projects,1 project,,,,
41,1005587,Active,,,Wesco Insurance Company,,,,22,0,-1.0,,3 projects,4 projects,9 projects,,,,,,4 projects,5 projects,1 project,,,,
42,1035916,Active,,,Hudson Insurance Company,,,,42,1,5.0,15 projects,19 projects,8 projects,,,,,3 projects,,6 projects,5 projects,6 projects,4 projects,,1 project,
43,1033559,Active,,,American Contractors Indemnity Company,,,,13,0,-1.0,7 projects,6 projects,,,,,,,,2 projects,2 projects,,,,,
44,1050840,Active,,,American Contractors Indemnity Company,,,,68,0,-1.0,9 projects,59 projects,,,,,,6 projects,,3 projects,3 projects,5 projects,1 project,,,
45,1010499,Active,,,California Contractors Insurance Services Inc.,,,,,5,5.0,,,,,,,,,,,,,,,,
46,1005040,Active,,,Suretec Indemnity Company,,,,33,0,-1.0,7 projects,9 projects,9 projects,4 projects,,,,,,2 projects,2 projects,,5 projects,,,
47,515183,Active,,,Hudson Insurance Company,,,,55,0,-1.0,3 projects,7 projects,18 projects,,,,7 projects,,,3 projects,4 projects,,2 projects,,5 projects,1 project
48,1036413,Active,,,Western Surety Company,,,,,0,-1.0,,,,,,,,,,,,,,,,
49,1042611,Active,,,American Contractors Indemnity Company,,,,11,0,-1.0,,8 projects,3 projects,,,,,,,,1 project,2 projects,,1 project,,
50,831985,Active,,,Ohio Casualty Insurance Company (The),,,,12,0,-1.0,,2 projects,7 projects,3 projects,,,,,,,3 projects,,,,,
51,713179,Active,,,Business Alliance Insurance Company,,,,91,0,-1.0,1 project,2 projects,11 projects,14 projects,,,,,,9 projects,5 projects,4 projects,,1 project,,
52,1038502,Active,,,American Contractors Indemnity Company,,,,37,0,-1.0,21 projects,17 projects,,,,,,,,3 projects,6 projects,,,,,
53,775061,Active,,,Suretec Indemnity Company,,,,145,0,-1.0,1 project,6 projects,12 projects,94 projects,,,,53 projects,,4 projects,14 projects,2 projects,,,,
54,509594,Active,,,Suretec Indemnity Company,,,,424,0,-1.0,2 projects,26 projects,23 projects,54 projects,,29 projects,6 projects,,,8 projects,11 projects,5 projects,4 projects,3 projects,11 projects,1 project
55,668225,Active,,,Developers Surety & Indemnity Company,,,,832,0,-1.0,2 projects,14 projects,28 projects,28 projects,,,5 projects,,,8 projects,6 projects,1 project,3 projects,2 projects,3 projects,
56,469380,Active,,,Accredited Surety & Casualty Company Inc,,,,89,0,-1.0,1 project,3 projects,11 projects,11 projects,,,5 projects,,,2 projects,4 projects,6 projects,,,,
57,926767,Active,,,Accredited Surety & Casualty Company Inc,,,,82,0,-1.0,17 projects,15 projects,5 projects,13 projects,,,3 projects,6 projects,,10 projects,4 projects,6 projects,1 project,1 project,1 project,1 project
58,967613,Active,,,Suretec Insurance Company,,,,103,0,-1.0,5 projects,12 projects,5 projects,20 projects,,8 projects,,11 projects,,6 projects,5 projects,6 projects,1 project,2 projects,,
59,786714,Active,,,American Contractors Indemnity Company,,,,92,0,-1.0,,12 projects,19 projects,32 projects,,7 projects,5 projects,,,11 projects,7 projects,4 projects,1 project,1 project,1 project,4 projects
